biceps_emg, triceps_emg, subject_position, position_estimate, brace_position
-2.47341540671187E-05,-1.22511773952283E-05,3.515625,0,0
-2.51506444328697E-05,-1.41225782499532E-05,3.515625,0,0
-2.3140379198594E-05,-1.60848921950674E-05,3.515625,0,0
-2.46225590672111E-05,-2.0415283870534E-05,3.515625,0,0
-2.4768394723651E-05,-2.78610659734113E-05,3.515625,0,0
-2.65793933067471E-05,-3.00117753795348E-05,3.515625,0,0
-2.64328591583762E-05,-2.54275309998775E-05,3.515625,0,0
-2.83407098322641E-05,-1.4349395314639E-05,3.515625,0,0
-2.87366619886598E-05,-3.34511264554749E-06,3.515625,0,0
-2.9167897082516E-05,5.29874296262278E-06,3.515625,0,0
-2.80837411992252E-05,9.18606565392111E-06,3.515625,0,0
-2.67066006927053E-05,1.06206443888368E-05,3.515625,0,0
-2.41386387642706E-05,1.14942386062467E-05,3.515625,0,0
-2.25072926696157E-05,1.37108181661461E-05,3.515625,0,0
-1.75756686076056E-05,1.3614201634482E-05,3.515625,0,0
-2.58729578490602E-05,1.92184870684287E-05,3.515625,0,0
-2.07511366170365E-05,1.32958839458297E-05,3.515625,0,0
-2.52890531555749E-05,1.55887901200913E-05,3.515625,0,0
-2.17541619349504E-05,1.37307524710195E-05,3.515625,0,0
-2.34024137171218E-05,1.75441273313481E-05,3.515625,0,0
-2.12227951124078E-05,1.66260924743256E-05,3.515625,0,0
-2.26382235268829E-05,1.61469106387813E-05,3.515625,0,0
-2.21574464376317E-05,1.56164005602477E-05,3.515625,0,0
-2.26515148824546E-05,1.71364572452148E-05,3.515625,0,0
-2.42472797253868E-05,1.76249814103357E-05,3.515625,0,0
-2.50529610639205E-05,1.52052361954702E-05,3.515625,0,0
-2.53002526733326E-05,1.32473705889424E-05,3.515625,0,0
-2.28602020797553E-05,1.16184428406996E-05,3.515625,0,0
-2.29360030061798E-05,1.39234425660106E-05,3.515625,0,0
-2.23507231567055E-05,1.70538878592197E-05,3.515625,0,0
-2.36745818256168E-05,2.24262348638149E-05,3.515625,0,0
-2.29451688937843E-05,2.51890978688607E-05,3.515625,0,0
-2.39305663853884E-05,2.67768682533642E-05,3.515625,0,0
-2.33543942158576E-05,2.35105562751414E-05,3.515625,0,0
-2.42967271333328E-05,1.76488520082785E-05,3.515625,0,0
-2.43587055592798E-05,1.05430726762279E-05,3.515625,0,0
-2.47165353357559E-05,8.27923577162437E-06,3.515625,0,0
-2.33800001296913E-05,1.18801617645659E-05,3.515625,0,0
-2.38540742429905E-05,2.1044483219157E-05,3.515625,0,0
-2.4957065761555E-05,2.8163338356535E-05,3.515625,0,0
-2.53146499744616E-05,2.7768692234531E-05,3.515625,0,0
-2.01478524104459E-05,1.6721649444662E-05,3.515625,0,0
-2.74581561825471E-05,2.01485618163133E-05,3.515625,0,0
-1.98565594473621E-05,1.20066579256672E-05,3.515625,0,0
-2.60525266639888E-05,1.68006808962673E-05,3.515625,0,0
-2.4428469259874E-05,1.04499649751233E-05,3.515625,0,0
-2.97495862469077E-05,1.01135456134216E-05,3.515625,0,0
-2.62945559370564E-05,5.96346308157081E-06,3.515625,0,0
-2.46803119807737E-05,7.15866462996928E-06,3.515625,0,0
-2.19466564885806E-05,6.14595319348155E-06,3.515625,0,0
-2.15950440178858E-05,4.48614446213469E-06,3.515625,0,0
-2.22493672481505E-05,3.36647576659743E-06,3.515625,0,0
-2.20241327042459E-05,3.32201329911186E-06,3.515625,0,0
-2.26761058002012E-05,6.12656549492385E-06,3.515625,0,0
-2.11959304579068E-05,7.32072612663615E-06,3.515625,0,0
-2.27005875785835E-05,9.01465318747796E-06,3.515625,0,0
-2.25710773520404E-05,6.84824817653862E-06,3.515625,0,0
-2.42285514104879E-05,6.52806647849502E-06,3.515625,0,0
-2.25247040361864E-05,5.16334102940164E-06,3.515625,0,0
-2.30285750149051E-05,7.6448886829894E-06,3.515625,0,0
-2.28115713980515E-05,9.17773832043167E-06,3.515625,0,0
-2.44016828219173E-05,1.08631520561175E-05,3.515625,0,0
-2.27840409934288E-05,1.01594241641578E-05,3.515625,0,0
-2.21441587200388E-05,1.0469672815816E-05,3.515625,0,0
-2.24073282879544E-05,9.33612500375602E-06,3.515625,0,0
-2.51093351835152E-05,7.91519414633513E-06,3.515625,0,0
-2.81724387605209E-05,5.71328155274387E-06,3.515625,0,0
-2.99693438137183E-05,3.12906695398851E-06,3.515625,0,0
-2.46462841460016E-05,1.27904263536038E-06,3.515625,0,0
-3.38375066348817E-05,4.05701575800776E-06,3.515625,0,0
-2.33391219808254E-05,8.73469161888352E-06,3.515625,0,0
-2.72340967057971E-05,1.24586385936709E-05,3.515625,0,0
-1.99039313883986E-05,1.43581401061965E-05,3.515625,0,0
