biceps_emg, triceps_emg, subject_position, position_estimate, brace_position
-2.72715769824572E-05,1.08943313534837E-05,3.1640625,0,0
-2.42343994614203E-05,9.17097713681869E-06,3.1640625,0,0
-2.44846269197296E-05,1.03201100500883E-05,3.1640625,0,0
-2.36572814173996E-05,1.15229886432644E-05,3.1640625,0,0
-2.46223862632178E-05,1.23564905152307E-05,3.1640625,0,0
-2.58562886301661E-05,1.20680151667329E-05,3.1640625,0,0
-2.59026746789459E-05,1.11791268864181E-05,3.1640625,0,0
-2.67501272901427E-05,1.15729817480315E-05,3.1640625,0,0
-2.49348322540754E-05,1.17453746497631E-05,3.1640625,0,0
-2.51005858444842E-05,1.20821769087343E-05,3.1640625,0,0
-2.36660052905791E-05,1.0497022230993E-05,3.1640625,0,0
-2.46587151195854E-05,9.65764047577977E-06,3.1640625,0,0
-2.38129014178412E-05,8.69239374878816E-06,3.1640625,0,0
-2.49032727879239E-05,9.73782698565628E-06,3.1640625,0,0
-2.43961621890776E-05,1.0791678505484E-05,3.1640625,0,0
-2.57992833212484E-05,1.29138470583712E-05,3.1640625,0,0
-2.55456325248815E-05,1.46630791277857E-05,3.1640625,0,0
-2.52888403338147E-05,1.62371288752183E-05,3.1640625,0,0
-2.35429961321643E-05,1.57278282131301E-05,3.1640625,0,0
-2.31579670071369E-05,1.39066278279643E-05,3.1640625,0,0
-2.23065526370192E-05,1.26475342767662E-05,3.1640625,0,0
-2.24378109123791E-05,1.35654936457286E-05,3.1640625,0,0
-2.03004310606048E-05,1.22493565868353E-05,3.1640625,0,0
-2.9343356800382E-05,1.72876352735329E-05,3.1640625,0,0
-2.19978082895977E-05,1.18159641715465E-05,3.1640625,0,0
-2.58311520155985E-05,1.44874402394635E-05,3.1640625,0,0
-2.1603244022117E-05,1.27006787806749E-05,3.1640625,0,0
-2.466681326041E-05,1.37820788950194E-05,3.1640625,0,0
-2.21822101593716E-05,1.08411013570731E-05,3.1640625,0,0
-2.32355814659968E-05,1.01195746537996E-05,3.1640625,0,0
-2.2720661945641E-05,9.20651928026928E-06,3.1640625,0,0
-2.22428498091176E-05,8.16496958577773E-06,3.1640625,0,0
-2.20063830056461E-05,7.32312537365942E-06,3.1640625,0,0
-2.08173260034528E-05,7.48079582990613E-06,3.1640625,0,0
