biceps_emg, triceps_emg, subject_position, position_estimate, brace_position
5.61450406166841E-07,-2.33113096328452E-05,2.8125,0,0
2.37002245739859E-06,-2.05586547963321E-05,2.8125,0,0
1.58068860400817E-06,-1.79416365426732E-05,2.8125,0,0
5.92254309594864E-07,-1.78625778062269E-05,2.8125,NaN,0
1.7235322502529E-06,-1.71162046171958E-05,2.8125,NaN,0
3.36418656843307E-06,-1.78063910425408E-05,2.8125,NaN,0
3.39794564752083E-06,-1.69878967426484E-05,2.8125,NaN,0
2.48505648414721E-06,-1.70207204064354E-05,2.8125,NaN,0
1.26576628645125E-06,-1.53210548887728E-05,2.8125,NaN,0
-2.31641308801045E-07,-1.54743866005447E-05,2.8125,NaN,0
-1.26745703710185E-06,-1.54968729475513E-05,2.8125,NaN,0
-7.17950968009973E-07,-1.7038861187757E-05,2.8125,NaN,0
2.92964330128598E-07,-1.78435875568539E-05,2.8125,NaN,0
6.98975739510388E-08,-2.05690594157204E-05,2.8125,NaN,0
-3.87751015296089E-07,-2.2423102564062E-05,2.8125,NaN,0
7.58248688725871E-07,-2.24752584472299E-05,2.8125,NaN,0
1.64078790021449E-06,-2.20213951251935E-05,2.8125,NaN,0
9.64548803494836E-07,-2.34179660765221E-05,2.8125,NaN,0
-1.49203245314311E-07,-1.94601088878699E-05,2.8125,NaN,0
-9.68333324635751E-07,-2.7682584914146E-05,2.8125,NaN,0
8.44826146817468E-08,-2.03211293410277E-05,2.8125,NaN,0
3.19379614666104E-06,-2.36737523664488E-05,2.8125,NaN,0
2.83475515061582E-06,-1.82333878910868E-05,2.8125,NaN,0
3.9672315210737E-08,-1.99160458578262E-05,2.8125,NaN,0
-1.81168047674873E-06,-1.61409898282727E-05,2.8125,NaN,0
-1.57972601755318E-06,-1.6141153537319E-05,2.8125,NaN,0
-2.41152690705349E-07,-1.55763646034757E-05,2.8125,NaN,0
1.26717714010738E-06,-1.53569872054504E-05,2.8125,NaN,0
2.23389474740543E-06,-1.38294062708155E-05,2.8125,NaN,0
1.59235332830576E-06,-1.20363956739311E-05,2.8125,NaN,0
8.42418387492216E-07,-1.26602762975381E-05,2.8125,NaN,0
1.5444032896994E-06,-1.15421562441043E-05,2.8125,NaN,0
3.15852048515808E-06,-1.37078368425136E-05,2.8125,NaN,0
4.10908933190512E-06,-1.43771612783894E-05,2.8125,NaN,0
3.55564520759799E-06,-1.60220643010689E-05,2.8125,NaN,0
2.51856226896052E-06,-1.51081694639288E-05,2.8125,NaN,0
2.1356568140618E-06,-1.65070341608953E-05,2.8125,NaN,0
1.34935169171513E-06,-1.50086161738727E-05,2.8125,NaN,0
1.90967412549981E-07,-1.35783184305183E-05,2.8125,NaN,0
8.39358904158871E-07,-1.0581745300442E-05,2.8125,NaN,0
3.19178343488602E-06,-9.49943023442756E-06,2.8125,NaN,0
5.28982263858779E-06,-8.76997000887059E-06,2.8125,NaN,0
5.86078476771945E-06,-9.53386188484728E-06,2.8125,NaN,0
5.28648979525315E-06,-1.0258098882332E-05,2.8125,NaN,0
