biceps_emg, triceps_emg, subject_position, position_estimate, brace_position
-2.90172883978812E-05,7.14491488906788E-06,3.33984375,0,0
-3.45598309650086E-05,1.09230968519114E-05,3.33984375,0,0
-2.86094855255215E-05,1.01920004453859E-05,3.33984375,0,0
-3.36712328135036E-05,1.1127191100968E-05,3.33984375,0,0
-3.22358464472927E-05,1.01567720776075E-05,3.33984375,0,0
-3.43725405400619E-05,1.02649455584469E-05,3.33984375,0,0
-3.3030184567906E-05,9.72262569121085E-06,3.33984375,0,0
-3.23030180879869E-05,9.53532617131714E-06,3.33984375,0,0
-3.24088468914852E-05,9.21741411730181E-06,3.33984375,0,0
-3.16060941258911E-05,8.59005194797646E-06,3.33984375,0,0
-3.28904752677772E-05,9.26739903661655E-06,3.33984375,0,0
-3.12738047796302E-05,9.89042564469855E-06,3.33984375,0,0
-3.20452636515256E-05,1.11713588921702E-05,3.33984375,0,0
-2.93701159534976E-05,1.24439657156472E-05,3.33984375,0,0
-2.99796429317212E-05,1.53812579810619E-05,3.33984375,0,0
-2.77204126177821E-05,1.58458806254203E-05,3.33984375,0,0
-2.77167309832294E-05,1.46692000271287E-05,3.33984375,0,0
-2.54090900853043E-05,1.31898095787619E-05,3.33984375,0,0
-2.64733353105839E-05,1.36237458718824E-05,3.33984375,0,0
-2.68121002591215E-05,1.27882995002437E-05,3.33984375,0,0
-2.81196371361148E-05,1.10282207970158E-05,3.33984375,0,0
-2.62647645286052E-05,9.83344398264308E-06,3.33984375,0,0
-2.49496843025554E-05,1.11236731754616E-05,3.33984375,0,0
-2.49224085564492E-05,1.163097567769E-05,3.33984375,0,0
-2.45726914727129E-05,1.09294351204881E-05,3.33984375,0,0
-1.82873627636582E-05,9.26125812839018E-06,3.33984375,0,0
-2.57571464317152E-05,1.53921191667905E-05,3.33984375,0,0
-2.02457413251977E-05,1.53004821186187E-05,3.33984375,0,0
-2.59630523942178E-05,1.70751463883789E-05,3.33984375,0,0
-2.16482203541091E-05,1.20766399049899E-05,3.33984375,0,0
-2.27914042625343E-05,1.13672722363845E-05,3.33984375,0,0
-1.97279805433936E-05,1.05796907519107E-05,3.33984375,0,0
-1.9679864635691E-05,1.19937121780822E-05,3.33984375,0,0
-1.81605373654747E-05,1.20519634947414E-05,3.33984375,0,0
-1.61126718012383E-05,1.1188279131602E-05,3.33984375,0,0
-1.43329725688091E-05,1.13654750748537E-05,3.33984375,0,0
-1.36581820697756E-05,1.23435629575397E-05,3.33984375,0,0
-1.54912941070506E-05,1.3152643077774E-05,3.33984375,0,0
-1.48485096360673E-05,1.20876693472383E-05,3.33984375,0,0
-1.53795735968743E-05,1.15593165901373E-05,3.33984375,0,0
-1.43919914989965E-05,9.30101123230997E-06,3.33984375,0,0
-1.59642313519726E-05,8.89650982571766E-06,3.33984375,0,0
-1.59891787916422E-05,1.12750094558578E-05,3.33984375,0,0
-1.6897392924875E-05,1.60871259140549E-05,3.33984375,0,0
-1.46456332004163E-05,1.76631947397254E-05,3.33984375,0,0
-1.37198276206618E-05,1.65266646945383E-05,3.33984375,0,0
-1.26907279991428E-05,1.42904164022184E-05,3.33984375,0,0
-1.43857805596781E-05,1.32546665554401E-05,3.33984375,0,0
-1.62482465384528E-05,1.17755398605368E-05,3.33984375,0,0
-1.77183319465257E-05,1.07238483906258E-05,3.33984375,0,0
-1.76886824192479E-05,1.05041872302536E-05,3.33984375,0,0
-1.69407139765099E-05,1.10548753582407E-05,3.33984375,0,0
-1.40407692015287E-05,9.40307290875353E-06,3.33984375,0,0
-2.16247044591E-05,1.36065309561673E-05,3.33984375,0,0
-1.93336763913976E-05,1.05673871075851E-05,3.33984375,0,0
-2.34151939366711E-05,1.27152934510377E-05,3.33984375,0,0
-2.0262794350856E-05,1.14684971777024E-05,3.33984375,0,0
-2.19027788261883E-05,1.28183728520526E-05,3.33984375,0,0
-2.08527453651186E-05,1.10869086711318E-05,3.33984375,0,0
-2.21147638512775E-05,1.19933820315055E-05,3.33984375,0,0
-2.08134097192669E-05,1.23077934404137E-05,3.33984375,0,0
-1.99383321159985E-05,1.32273653434822E-05,3.33984375,0,0
-2.04257539735409E-05,1.41420705404016E-05,3.33984375,0,0
-2.05545093194814E-05,1.41910131787881E-05,3.33984375,0,0
-2.16807839024113E-05,1.42531425808556E-05,3.33984375,0,0
-2.21715145016788E-05,1.31607994262595E-05,3.33984375,0,0
-2.39855417021317E-05,1.24775724543724E-05,3.33984375,0,0
-2.29214438149938E-05,1.0296414984623E-05,3.33984375,0,0
-2.21221180254361E-05,9.69127722783014E-06,3.33984375,0,0
-2.00391914404463E-05,8.81696269061649E-06,3.33984375,0,0
-2.00861668417929E-05,9.69994016486453E-06,3.33984375,0,0
-1.90132559509948E-05,1.07072810351383E-05,3.33984375,0,0
-1.92803163372446E-05,1.24521848192671E-05,3.33984375,0,0
-1.93742544070119E-05,1.14581116577028E-05,3.33984375,0,0
-2.02097562578274E-05,8.90751925908262E-06,3.33984375,0,0
-1.98742745851632E-05,6.42513623461127E-06,3.33984375,0,0
-1.95803586393595E-05,6.75188903187518E-06,3.33984375,0,0
-1.97677436517552E-05,7.83983250585152E-06,3.33984375,0,0
-2.05531341634924E-05,8.65153651830042E-06,3.33984375,0,0
-1.71535302797565E-05,6.40762527837069E-06,3.33984375,0,0
-2.49099230131833E-05,8.29839882499073E-06,3.33984375,0,0
-2.02319915842963E-05,5.92017340750317E-06,3.33984375,0,0
-2.46872441493906E-05,8.27664644020842E-06,3.33984375,0,0
-2.06654367502779E-05,6.73137446938199E-06,3.33984375,0,0
-2.40395911532687E-05,7.15447322363616E-06,3.33984375,0,0
-2.28132121264935E-05,7.09468440618366E-06,3.33984375,0,0
-2.28316166612785E-05,8.36469007481355E-06,3.33984375,0,0
-2.13229868677445E-05,7.71500708651729E-06,3.33984375,0,0
-2.26527772611007E-05,8.00200268713525E-06,3.33984375,0,0
-2.51524015766336E-05,8.9299774117535E-06,3.33984375,0,0
-2.60026281466708E-05,9.34409217734355E-06,3.33984375,0,0
-2.75813745247433E-05,9.22401341085788E-06,3.33984375,0,0
-2.70623604592402E-05,7.32393345970195E-06,3.33984375,0,0
-2.78797560895327E-05,6.04218985245097E-06,3.33984375,0,0
-2.64746322500287E-05,4.1039702409762E-06,3.33984375,0,0
-2.66118677245686E-05,3.73566422240401E-06,3.33984375,0,0
-2.46535892074462E-05,3.93829122913303E-06,3.33984375,0,0
-2.47995321842609E-05,5.76964612264419E-06,3.33984375,0,0
-2.43746108026244E-05,5.82885468247696E-06,3.33984375,0,0
-2.5775274480111E-05,4.97369273944059E-06,3.33984375,0,0
-2.55127069976879E-05,4.0689847082831E-06,3.33984375,0,0
-2.60551896644756E-05,5.27922884430154E-06,3.33984375,0,0
-2.63866659224732E-05,6.59042871120619E-06,3.33984375,0,0
-2.78406350844307E-05,7.35419007469318E-06,3.33984375,0,0
-2.87833681795746E-05,7.92683204053901E-06,3.33984375,0,0
-2.8011187168886E-05,8.44307396619115E-06,3.33984375,0,0
-2.24636933126021E-05,6.53052666166332E-06,3.33984375,0,0
-3.27191846736241E-05,7.58348505769391E-06,3.33984375,0,0
-2.6366980819148E-05,3.83497126676957E-06,3.33984375,0,0
-3.16592195304111E-05,6.34369143881486E-06,3.33984375,0,0
-2.54411297646584E-05,6.20030596110155E-06,3.33984375,0,0
-2.77988001471385E-05,7.64193464419805E-06,3.33984375,0,0
-2.54615479207132E-05,5.29254202774609E-06,3.33984375,0,0
-2.77833423751872E-05,3.91925914300373E-06,3.33984375,0,0
-2.85121495835483E-05,3.78016238755663E-06,3.33984375,0,0
-3.03511642414378E-05,5.87120985073852E-06,3.33984375,0,0
-3.2129384635482E-05,8.56122642289847E-06,3.33984375,0,0
-3.22982341458555E-05,9.86989289231133E-06,3.33984375,0,0
-3.31448900396936E-05,9.78982188826194E-06,3.33984375,0,0
-3.05414687318262E-05,7.576682492072E-06,3.33984375,0,0
-3.03966044157278E-05,5.91596426602337E-06,3.33984375,0,0
-2.88406790787121E-05,5.03319597555674E-06,3.33984375,0,0
-2.99959574476816E-05,6.47866227154736E-06,3.33984375,0,0
-2.85916412394727E-05,7.19826948625268E-06,3.33984375,0,0
-2.90849420707673E-05,8.23001209937502E-06,3.33984375,0,0
-2.77915551123442E-05,8.73269618750783E-06,3.33984375,0,0
-2.93473112833453E-05,1.02801004686626E-05,3.33984375,0,0
-2.92625572910765E-05,1.08299536805134E-05,3.33984375,0,0
-2.92605891445419E-05,1.12730667751748E-05,3.33984375,0,0
-2.83359659078997E-05,1.20479462566436E-05,3.33984375,0,0
-2.93674820568413E-05,1.39537896757247E-05,3.33984375,0,0
-2.9776831070194E-05,1.32948562168167E-05,3.33984375,0,0
-2.82708442682633E-05,1.06834431790048E-05,3.33984375,0,0
-2.20733472815482E-05,7.61884211897268E-06,3.33984375,0,0
-3.13313721562736E-05,1.15007778731524E-05,3.33984375,0,0
-2.41645411733771E-05,1.02189760582405E-05,3.33984375,0,0
-2.94922429020517E-05,1.30319913296262E-05,3.33984375,0,0
-2.40963345277123E-05,1.13693831735873E-05,3.33984375,0,0
-2.59689459198853E-05,1.26808981804061E-05,3.33984375,0,0
-2.23319711949443E-05,1.27177290778491E-05,3.33984375,0,0
-2.43349004449556E-05,1.42510471050628E-05,3.33984375,0,0
-2.47056759690167E-05,1.60555809998186E-05,3.33984375,0,0
-2.40836961893365E-05,1.71677984326379E-05,3.33984375,0,0
-2.32945658353856E-05,1.62073592946399E-05,3.33984375,0,0
-2.29968973144423E-05,1.44860123327817E-05,3.33984375,0,0
-2.48298856604379E-05,1.43156848935178E-05,3.33984375,0,0
-2.36590931308456E-05,1.41113314384711E-05,3.33984375,0,0
-2.42355781665538E-05,1.43659663081053E-05,3.33984375,0,0
-2.29265660891542E-05,1.39363301059348E-05,3.33984375,0,0
-2.40505087276688E-05,1.37034794533974E-05,3.33984375,0,0
-2.26626198127633E-05,1.25015812955098E-05,3.33984375,0,0
-2.42962105403421E-05,1.31967508423259E-05,3.33984375,0,0
-2.35260449699126E-05,1.35696809593355E-05,3.33984375,0,0
