biceps_emg, triceps_emg, subject_position, position_estimate, brace_position
-1.62171127158217E-05,1.15695484055323E-05,3.69140625,0,0
-2.3012613382889E-05,1.60558029165259E-05,3.69140625,0,0
-1.80728384293616E-05,1.01920986708137E-05,3.69140625,0,0
-2.25858257181244E-05,1.06915322248824E-05,3.69140625,0,0
-1.97805820789654E-05,6.64066874378477E-06,3.69140625,0,0
-2.28157787205419E-05,7.94497827882878E-06,3.69140625,0,0
-2.09029221878154E-05,7.53924405216821E-06,3.69140625,0,0
-2.2163316316437E-05,8.78595164977014E-06,3.69140625,0,0
-2.31380290642846E-05,9.24086270970292E-06,3.69140625,0,0
-2.5558891138644E-05,1.01829073173576E-05,3.69140625,0,0
-2.74446301773423E-05,1.10633336589672E-05,3.69140625,0,0
-2.62421635852661E-05,1.12896832433762E-05,3.69140625,0,0
-2.44977618422126E-05,1.17803410830675E-05,3.69140625,0,0
-2.17395245272201E-05,1.03890224636416E-05,3.69140625,0,0
-2.20152505789883E-05,9.82898745860439E-06,3.69140625,0,0
-2.15449126699241E-05,8.84443034010474E-06,3.69140625,0,0
-2.35802563111065E-05,1.0385172572569E-05,3.69140625,0,0
-2.38504198932787E-05,1.16237670226838E-05,3.69140625,0,0
-2.50670291279675E-05,1.39274352477514E-05,3.69140625,0,0
-2.42479090957204E-05,1.33514367917087E-05,3.69140625,0,0
-2.45175015152199E-05,1.15260472739465E-05,3.69140625,0,0
-2.33820119319716E-05,1.08455733425217E-05,3.69140625,0,0
-2.34665149037028E-05,1.36498229039717E-05,3.69140625,0,0
-2.35670777328778E-05,1.46185520861764E-05,3.69140625,0,0
-2.36546929954784E-05,1.38928244268754E-05,3.69140625,0,0
-2.29024972213665E-05,1.35763557409518E-05,3.69140625,0,0
-2.2433267076849E-05,1.43308971018996E-05,3.69140625,0,0
-1.81223877007142E-05,1.14383701657061E-05,3.69140625,0,0
-2.69064057647483E-05,1.71755909832427E-05,3.69140625,0,0
-2.24869436351582E-05,1.4483068298432E-05,3.69140625,0,0
-2.68413841695292E-05,1.69965369423153E-05,3.69140625,0,0
-2.12124668905744E-05,1.37761935548042E-05,3.69140625,0,0
-2.25538351514842E-05,1.57441190822283E-05,3.69140625,0,0
-2.26597003347706E-05,1.48759727380821E-05,3.69140625,0,0
-2.72387696895748E-05,1.61954376380891E-05,3.69140625,0,0
-2.82342243735911E-05,1.80952683876967E-05,3.69140625,0,0
-2.81770335277542E-05,1.99675941985333E-05,3.69140625,0,0
