tracking_loop_timer, data_log_timer, subject_position_timer, brace_position_timer, brace_command_timer
5.165,1.0656,0.2161,5.2876,6.4579
5.165,1.0656,0.182,2.7473,6.4579
8.4832,1.1377,13.5378,2.683,8.5759
8.4832,1.1377,0.1922,2.8536,8.5759
7.7847,1.1585,0.2131,2.7527,6.2409
7.7847,1.1585,0.505,3.1412,6.2409
9.3786,1.1585,6.8178,3.0646,9.4809
9.3786,7.0318,0.2143,2.9094,9.4809
9.3786,7.0318,0.1944,3.4307,9.4809
8.4102,1.6382,15.7961,2.7271,5.7371
8.4102,1.6382,0.2245,3.2366,5.7371
9.0163,1.205,0.2318,3.2493,9.1156
9.0163,1.205,0.2318,2.9218,9.1156
10.6431,1.0979,9.1298,3,7.0028
10.6431,1.0979,0.2288,3.0477,7.0028
10.6431,1.0979,0.3236,2.8635,7.0028
12.0815,1.0613,12.1504,12.1796,12.2286
12.0815,1.0613,2.3132,2.9888,12.2286
6.2527,1.4583,0.2194,3.0727,6.8564
6.2527,1.4583,0.2254,3.2563,6.8564
7.6968,1.0973,11.2399,2.8916,7.7877
7.6968,1.0973,0.2227,2.9849,7.7877
13.6609,1.5268,0.2098,2.9272,13.7769
13.6609,1.5268,0.2101,3.1192,13.7769
13.6609,1.5268,4.545,3.2397,13.7769
7.3029,1.1181,0.2001,2.8671,7.398
7.3029,1.1181,0.313,2.9577,7.398
9.1519,1.6506,0.1778,3.1298,9.3351
9.1519,1.6506,0.1995,2.853,9.3351
9.2131,4.3702,0.2641,3.3037,9.3064
9.2131,4.3702,0.2155,4.4936,9.3064
9.2131,4.3702,0.2052,3.0468,9.3064
10.7421,1.5081,0.2233,10.8206,10.8756
10.7421,1.5081,0.2381,2.8898,10.8756
9.9364,1.0082,13.3989,3.3942,10.0369
9.9364,1.0082,0.2282,2.9203,10.0369
9.6418,1.599,0.2221,3.1183,9.7665
9.6418,1.599,0.3169,3.1322,9.7665
13.408,1.0979,6.5648,2.9387,13.5109
13.408,1.0979,0.243,2.9423,13.5109
13.408,1.0979,0.223,3.0383,13.5109
9.5555,1.5039,15.6633,2.8551,9.6521
9.5555,1.5039,0.2116,3.2916,9.6521
10.2621,1.5688,0.1826,2.974,10.3696
10.2621,1.5688,0.2457,2.9973,10.3696
12.0782,1.1027,8.779,3.166,12.2488
12.0782,1.1027,0.2182,3.1512,12.2488
12.0782,1.1027,0.5053,3.5355,12.2488
8.703,1.244,8.7609,9.0761,8.8436
8.703,1.244,1.9585,3.0117,8.8436
10.2751,1.4595,0.2529,3.1585,10.3781
10.2751,1.4595,0.2333,2.8342,10.3781
13.4022,1.3702,13.4922,2.8575,13.5284
13.4022,1.3702,0.217,2.9991,13.5284
9.2744,1.8698,0.2309,3.0483,9.4148
9.2744,1.8698,0.2336,3.1255,9.4148
9.2744,1.8698,0.2728,2.9121,9.4148
7.6473,1.212,0.2517,2.9966,7.74
7.6473,1.212,0.4636,3.0465,7.74
8.3519,6.3281,13.149,3.1243,8.4551
8.3519,6.3281,0.2224,3.3082,8.4551
11.5216,1.0719,0.1944,2.7702,11.6323
11.5216,1.0719,4.0623,3.0208,11.6323
11.5216,1.0719,0.2707,3.025,11.6323
8.2773,1.2871,0.2753,9.0885,8.4406
8.2773,1.2871,0.2306,3.3136,8.4406
8.2091,1.2277,13.0183,2.9574,6.6816
8.2091,1.2277,0.2414,3.0117,6.6816
11.4826,1.0761,0.2279,3.1772,11.6016
11.4826,1.0761,0.4482,3.252,11.6016
11.4826,1.0761,6.2098,3.3414,5.9475
10.4073,1.2554,0.2378,10.5055,5.9475
10.4073,1.2554,0.2493,3.0887,5.9475
9.2406,1.2748,15.2174,3.2904,9.4118
9.2406,1.2748,0.227,2.9891,9.4118
11.1663,1.2247,0.2185,2.9559,7.1812
11.1663,1.2247,0.2164,2.9973,7.1812
7.954,1.1471,8.5861,2.8584,8.0503
7.954,1.1471,0.2176,3.3734,8.0503
7.954,1.1471,0.425,3.0751,8.0503
10.3364,1.5105,0.191,10.4064,10.4653
10.3364,1.5105,1.7378,3.1053,10.4653
11.2565,7.7285,0.2282,2.8496,11.3987
11.2565,7.7285,0.2315,3.3532,11.3987
10.6217,1.4444,10.6863,2.9797,10.708
10.6217,1.4444,0.195,3.0268,10.708
9.4317,1.0795,0.2267,3.1219,9.5283
9.4317,1.0795,0.22,2.933,9.5283
9.4317,1.0795,3.9916,3.393,9.5283
8.2945,2.0847,0.1901,3.0117,8.3875
8.2945,2.0847,0.425,2.9263,8.3875
13.7811,1.4019,12.8577,3.2354,13.9344
13.7811,1.4019,0.2309,2.9647,13.9344
9.8066,1.077,0.2505,3.0395,9.9186
9.8066,1.077,0.2469,3.0362,9.9186
9.8066,1.077,0.2191,2.8804,9.9186
8.9943,1.5048,0.2399,9.3943,9.1265
8.9943,1.5048,0.2273,3.076,9.1265
12.8377,1.4834,12.9174,3.0178,12.9597
12.8377,1.4834,0.2076,3.1572,12.9597
8.076,1.5507,0.2445,2.8038,8.2052
8.076,1.5507,0.4322,3.3489,8.2052
7.5187,1.2488,5.984,2.9471,7.6217
7.5187,1.2488,0.2487,3.0727,7.6217
7.5187,1.2488,0.2064,3.1385,7.6217
7.6938,5.9774,14.8497,2.9695,7.7871
7.6938,5.9774,0.2134,2.8828,7.7871
9.6403,1.4236,0.1787,3.0302,9.7296
9.6403,1.4236,0.2774,2.8022,9.7296
8.3175,1.4127,8.1499,3.2336,8.4781
