tracking_loop_timer, data_log_timer, subject_position_timer, brace_position_timer, brace_command_timer
4.8957,0,0.1944,2.7331,0
11.1874,1.7146,0.1859,2.7207,0
11.1874,1.7146,13.7778,2.6395,6.5364
6.3305,1.1256,0.2019,2.9444,6.5364
6.3305,1.1256,0.1645,2.853,6.3405
18.2144,1.1256,18.17,3.2363,6.3405
18.2144,1.8196,0.166,3.192,6.476
18.2144,1.8196,0.175,2.9991,6.476
7.0671,1.1459,0.1865,2.9366,6.476
7.0671,1.1459,13.0989,9.1968,6.512
11.434,1.4713,0.2182,2.9058,6.512
11.434,1.4713,0.1832,2.8028,6.0887
8.5707,1.4686,0.1928,2.6957,6.0887
8.5707,1.4686,2.2737,2.6939,6.1748
17.3224,1.4686,0.1826,2.7545,6.1748
17.3224,1.4372,0.2303,2.8442,5.3286
17.3224,1.4372,2.4898,3.2391,5.3286
6.5425,0.9801,0.1729,2.7011,5.3286
6.5425,0.9801,0.2248,2.7802,5.5577
10.3189,1.3071,0.204,2.949,5.5577
10.3189,1.3071,6.0423,2.8397,5.9354
13.6984,1.1235,0.1886,2.7893,5.9354
13.6984,1.1235,0.1941,3.3489,6.8169
13.6984,1.1235,0.1802,3.1243,6.8169
11.8923,1.349,11.8455,11.9481,6.8169
11.8923,1.349,0.188,9.3565,6.7562
11.713,1.1072,0.2913,3.0676,6.7562
11.713,1.1072,13.1281,3.1252,6.8981
10.2063,1.2277,0.2167,3.1349,6.8981
10.2063,1.2277,0.2113,3.013,6.6744
11.8971,0.9738,0.22,3.0163,6.6744
11.8971,0.9738,0.2067,2.8931,6.6744
11.8971,0.9738,0.2514,5.2248,6.5271
14.3568,1.2111,0.1642,2.9203,6.5271
14.3568,1.2111,15.8205,2.993,6.7698
7.7681,1.4595,0.1904,3.0341,6.7698
7.7681,1.4595,0.2421,3.0809,6.6209
16.478,1.1217,6.1893,3.0199,6.6209
16.478,1.1217,0.195,2.8919,6.505
16.478,1.1217,0.1826,3.0981,6.505
12.9633,2.1061,0.2116,13.0074,6.505
12.9633,2.1061,9.5965,9.6231,6.7867
7.3029,1.5552,7.2331,3.1452,6.7867
7.3029,1.5552,0.2146,3.2798,18.736
8.7105,5.5381,0.2309,2.9254,18.736
8.7105,5.5381,0.8464,3.4265,6.5129
8.7105,5.5381,0.1765,2.8901,6.5129
10.0662,1.7448,0.1919,10.1251,6.1989
10.0662,1.7448,4.9051,3.3366,6.1989
12.0876,1.1296,0.2771,3.0869,6.1989
12.0876,1.1296,0.2581,2.9852,6.4763
9.515,1.1872,9.4359,2.9713,6.4763
9.515,1.1872,6.5144,2.9336,7.1613
15.6307,1.1872,0.2122,3.0902,7.1613
15.6307,1.375,0.233,3.2535,6.7939
15.6307,1.375,0.1805,3.14,6.7939
7.4864,1.4683,0.1639,2.9396,6.7939
7.4864,1.4683,0.1775,8.7923,5.6906
9.2865,1.5015,0.2466,3.0993,5.6906
9.2865,1.5015,13.1505,2.9508,7.0448
9.3281,5.37,0.2375,2.9345,7.0448
9.3281,5.37,0.2209,3.0383,6.8594
6.8715,1.5848,0.2137,3.5563,6.8594
6.8715,1.5848,0.2348,2.8859,6.3158
6.8715,1.5848,0.227,3.0434,6.3158
7.3294,1.1534,7.2727,3.0766,6.3158
7.3294,1.1534,0.1992,3.0371,6.4084
11.7214,1.1676,0.2167,2.9746,6.4084
11.7214,1.1676,0.236,2.8841,6.528
15.6089,1.1854,15.5292,3.0827,6.528
