tracking_loop_timer, data_log_timer, subject_position_timer, brace_position_timer, brace_command_timer
5.3974,1.1978,0.2034,2.7443,6.5147
5.3974,1.1978,15.8604,2.9831,6.5147
11.4147,1.0752,0.1787,3.2194,6.2167
11.4147,1.0752,0.191,2.993,6.2167
11.031,1.276,9.1971,11.1047,11.1578
11.031,1.276,0.3435,3.0422,11.1578
6.7507,4.7572,0.2061,2.8982,5.7488
6.7507,4.7572,0.2215,3.3598,5.7488
6.7507,4.7572,2.5369,2.8952,5.7488
7.6204,1.3264,0.2282,3.0386,7.7113
7.6204,1.3264,0.2267,3.0899,7.7113
7.2247,1.0031,0.1931,2.731,6.1609
7.2247,1.0031,11.5768,2.8484,6.1609
10.4716,1.5193,0.2393,2.7624,10.5423
10.4716,1.5193,0.2315,2.8837,10.5423
14.6296,1.5193,5.0545,3.0075,10.5423
14.6296,1.522,0.3414,2.9532,6.3034
14.6296,1.522,0.2128,3.06,6.3034
11.5656,1.5063,0.1708,2.7062,11.6511
11.5656,1.5063,13.9867,2.8883,11.6511
10.2561,1.1072,0.2291,8.7667,5.4304
10.2561,1.1072,0.2472,2.8961,5.4304
12.1051,1.0852,0.2176,2.6881,12.214
12.1051,1.0852,7.3364,2.7754,12.214
12.1051,1.0852,0.2324,2.7645,12.214
10.3787,1.381,0.3809,3.2463,5.3866
10.3787,1.381,0.6997,2.92,5.3866
8.834,1.4665,0.4008,3.0033,8.939
8.834,1.4665,0.2028,3.1895,8.939
10.587,5.6691,0.2547,10.8106,6.3112
10.587,5.6691,0.2384,3.3912,6.3112
10.587,5.6691,0.2085,2.8807,6.3112
8.2713,1.0145,0.2064,3.1053,8.3582
8.2713,1.0145,0.7746,3.2342,8.3582
8.9004,1.7378,3.0628,2.9179,9.0024
8.9004,1.7378,0.2357,3.3906,9.0024
11.0431,1.0973,0.3151,11.1164,11.1669
11.0431,1.0973,0.3082,2.8207,11.1669
13.561,1.0973,0.1639,3.2671,13.6519
13.561,18.6992,0.1747,2.965,13.6519
13.561,18.6992,3.0314,2.9915,13.6519
7.0384,1.2325,0.2267,3.1515,7.1444
7.0384,1.2325,0.2085,2.8825,7.1444
8.8095,1.1284,0.214,3.3595,8.9116
8.8095,1.1284,11.9834,3.0244,8.9116
12.3973,1.2319,0.195,3.019,12.4878
12.3973,1.2319,0.1847,3.1065,12.4878
12.3973,1.2319,5.3664,2.9541,12.4878
9.0411,1.0598,0.342,3.3411,9.1588
9.0411,1.0598,0.2209,2.9855,9.1588
7.871,1.202,0.2251,3.0794,7.9712
7.871,1.202,14.3806,3.1953,7.9712
7.3086,5.0729,0.2131,11.9861,7.5948
7.3086,5.0729,0.2194,3.1026,7.5948
12.8317,1.5105,0.2037,3.0957,12.9395
12.8317,1.5105,7.6654,3.1068,12.9395
12.8317,1.5105,0.2146,3.2774,12.9395
7.4508,1.0906,0.3553,2.9876,7.5474
7.4508,1.0906,1.0414,3.0084,7.5474
7.647,1.1788,0.495,3.1585,6.7553
7.647,1.1788,0.1922,3.2224,6.7553
13.0952,1.1365,0.265,2.885,13.1882
13.0952,1.1365,8.5212,2.932,13.1882
10.3642,1.2077,0.1971,3.1554,13.1882
10.3642,1.2077,0.2254,2.808,6.7411
10.3642,1.2077,0.3085,3.3628,6.7411
8.6906,1.365,1.8921,3.025,8.7908
8.6906,1.365,0.2264,3.1216,8.7908
11.8068,1.1407,0.348,3.1889,9.6599
11.8068,1.1407,10.8816,2.9073,9.6599
7.9265,1.074,0.1874,3.249,8.0023
7.9265,1.074,0.2858,3.0945,8.0023
7.9265,1.074,0.2227,2.929,8.0023
10.9263,1.1809,16.101,3.08,11.0349
10.9263,1.1809,0.2254,2.8379,11.0349
9.4172,5.2673,0.2113,3.2418,9.64
9.4172,5.2673,0.2493,2.8991,9.64
7.81,1.0891,0.3664,2.9988,7.89
7.81,1.0891,0.2058,3.105,7.89
11.6538,1.0834,16.1363,2.7174,11.8932
11.6538,1.0834,0.2321,3.2928,11.8932
11.6538,1.0834,0.3453,2.9544,11.8932
11.3003,1.5087,0.2577,3.07,11.3878
11.3003,1.5087,9.5862,3.1687,11.3878
15.2669,1.5259,0.243,15.4779,15.5138
15.2669,1.5259,0.2049,2.869,15.5138
11.2333,1.1462,0.249,3.0374,11.3338
11.2333,1.1462,2.7832,3.0652,11.3338
11.2333,1.1462,0.2058,3.2031,11.3338
13.8976,1.0269,0.2279,2.8853,14.1137
13.8976,1.0269,1.301,2.8225,14.1137
12.8136,1.1984,0.505,2.9918,6.6203
12.8136,1.1984,0.1941,3.0609,6.6203
10.8173,1.4981,0.2085,3.2288,10.8861
10.8173,1.4981,1.1117,2.9094,10.8861
8.9004,1.1902,0.2381,2.7093,9.0103
8.9004,1.1902,0.2297,3.0084,9.0103
8.9004,1.1902,10.1429,3.1726,9.0103
7.8426,5.216,0.3121,3.2457,7.9356
7.8426,5.216,0.1974,3.0782,7.9356
8.1472,1.081,0.2076,8.2025,9.0857
8.1472,1.081,3.4301,3.124,9.0857
9.4561,1.103,0.4256,2.7868,9.6122
9.4561,1.103,0.1832,3.32,9.6122
9.4561,1.103,0.2025,2.8599,9.6122
11.8521,1.3403,12.3864,3.054,11.9626
11.8521,1.3403,0.2158,2.9136,11.9626
19.1831,1.1631,0.243,2.8762,19.5339
19.1831,1.1631,5.7229,3.3574,19.5339
8.6287,1.2533,0.2457,2.7376,8.7051
8.6287,1.2533,0.2719,3.2203,8.7051
9.6629,1.4314,0.3405,3.1711,9.7477
9.6629,1.4314,0.3848,2.9136,9.7477
9.6629,1.4314,0.2541,2.9209,9.7477
14.8748,1.6198,0.2514,3.044,14.9949
14.8748,1.6198,5.897,3.1382,14.9949
8.0361,1.1124,0.2571,9.669,8.4225
8.0361,1.1124,0.2671,2.9716,8.4225
9.166,1.4752,14.7534,2.996,9.2732
9.166,1.4752,14.7534,3.0926,9.2732
9.166,1.4752,0.2354,2.821,9.2732
8.1086,5.9423,0.2333,3.4389,8.3021
8.1086,5.9423,8.1659,3.0368,8.3021
11.2861,1.56,0.5234,3.0945,11.3857
11.2861,1.56,0.2004,3.1144,11.3857
8.117,1.1199,0.2215,2.9686,8.3398
8.117,1.1199,1.4882,3.3163,8.3398
10.7949,1.081,0.2248,3.1092,10.9027
10.7949,1.081,0.2581,2.7772,10.9027
10.7949,1.081,10.4581,3.2394,10.9027
13.9779,1.1157,0.2218,3.0277,14.0902
13.9779,1.1157,0.2043,2.9109,14.0902
8.412,1.189,0.2351,9.4302,8.5852
8.412,1.189,3.7791,2.942,8.5852
10.7382,1.1114,0.4099,3.2886,10.9383
10.7382,1.1114,0.2372,2.945,10.9383
10.7382,1.1114,0.2037,2.9538,10.9383
16.4844,1.5543,11.5614,3.1065,16.7479
16.4844,1.5543,0.1944,2.862,16.7479
6.9584,1.4692,0.2469,2.9396,7.1525
6.9584,1.4692,6.1446,3.0238,7.1525
7.2183,1.3635,0.2318,3.0051,7.295
7.2183,1.3635,0.2082,3.1769,7.295
7.206,5.9915,0.3094,2.8874,7.2932
7.206,5.9915,15.0634,3.428,7.2932
7.206,5.9915,0.3015,3.0809,7.2932
8.6272,1.0493,0.1986,3.1249,8.8279
8.6272,1.0493,0.1974,3.2729,8.8279
7.9694,1.0339,8.4379,9.294,8.0702
7.9694,1.0339,0.2073,2.9157,8.0702
9.2955,1.4363,0.1859,3.1138,9.3988
9.2955,1.4363,0.1859,3.2418,9.3988
9.2955,1.4363,0.207,3.1781,9.3988
16.1825,1.1978,0.252,3.0525,16.3914
16.1825,1.1978,8.5007,2.9897,16.3914
11.8935,1.4305,10.6506,3.1406,12.0091
11.8935,1.4305,0.2082,2.8388,12.0091
8.1466,1.1341,0.2239,3.3272,8.3863
8.1466,1.1341,0.2146,2.9951,8.3863
13.4418,1.2328,0.2384,3.0688,13.5667
13.4418,1.2328,0.1708,3.2312,13.5667
13.4418,1.2328,10.8058,2.9037,13.5667
7.2162,1.0324,0.2734,2.8605,7.2944
7.2162,1.0324,0.2158,3.0184,7.2944
9.5989,1.5842,0.2511,10.036,9.7215
9.5989,1.5842,4.1646,3.1729,9.7215
7.717,4.7907,0.3492,2.977,8.1043
7.717,4.7907,0.2928,2.9571,8.1043
7.717,4.7907,0.243,2.7977,8.1043
9.1585,1.247,13.2449,2.8539,9.2666
9.1585,1.247,0.2134,3.1989,9.2666
10.1613,1.541,0.287,2.9179,10.4768
10.1613,1.541,6.7233,3.0187,10.4768
11.153,1.1869,0.2599,3.1286,11.2465
11.153,1.1869,0.2152,2.9707,11.2465
8.6094,1.0487,0.3568,3.3622,8.7271
8.6094,1.0487,15.451,2.9939,8.7271
8.6094,1.0487,0.3202,3.0848,8.7271
8.6426,1.2962,0.2448,3.1186,8.747
8.6426,1.2962,0.2101,2.8892,8.747
9.9542,1.0001,8.8808,10.011,10.0439
9.9542,1.0001,0.3444,3.0552,10.0439
