tracking_loop_timer, data_log_timer, subject_position_timer, brace_position_timer, brace_command_timer
18.4133,1.2032,0.1935,2.8134,6.0223
11.3854,1.2482,11.4624,2.8022,6.0223
11.3854,1.2482,0.2088,2.9203,6.1618
9.6825,1.1157,0.236,3.1838,6.1618
9.6825,1.1157,0.2264,2.7126,5.594
9.6825,1.1157,4.2866,3.048,5.594
9.2729,1.4429,0.1759,3.1503,6.8588
9.2729,1.4429,0.2007,2.9121,6.8588
14.0639,1.7861,13.344,3.0923,6.8588
14.0639,1.7861,0.2167,2.7431,6.5252
6.889,1.0616,0.1602,2.8448,6.5252
6.889,1.0616,0.2088,2.9061,6.3354
9.1884,1.4867,0.2327,2.8324,6.3354
9.1884,1.4867,0.217,3.1092,6.2883
9.1884,1.4867,0.22,2.9236,6.2883
12.1057,1.1154,0.2061,2.9127,6.2883
12.1057,1.1154,0.1974,9.1636,6.2388
10.286,1.2669,0.2101,2.8693,6.2388
10.286,1.2669,0.175,2.6794,6.3737
6.4766,1.5006,6.7287,2.8566,6.3737
6.4766,1.5006,0.2043,2.9206,6.0015
6.4766,1.5006,0.1859,3.2264,6.0015
6.5168,3.8519,15.8465,6.7393,5.3141
6.5168,3.8519,0.1826,3.0163,5.3141
9.6004,1.5908,0.1808,3.1509,5.3141
9.6004,1.5908,0.1868,2.9988,6.608
17.9418,1.5875,9.2394,3.3864,6.608
17.9418,1.5875,0.1913,3.0226,6.2234
17.9418,1.5875,0.1874,3.0631,6.2234
8.5985,1.4523,0.1696,8.7015,6.8751
8.5985,1.4523,2.334,2.9375,6.8751
9.5247,1.2301,0.2197,2.8859,6.8751
9.5247,1.2301,0.2215,9.1392,6.5817
7.1637,1.0994,11.6015,2.8898,6.5817
7.1637,1.0994,0.1956,3.0314,6.4715
8.997,1.221,0.2227,2.9619,6.4715
8.997,1.221,0.2209,2.9106,6.6397
8.997,1.221,4.9395,3.2185,6.6397
12.71,1.1773,0.1928,2.8436,6.272
12.71,1.1773,0.2233,3.3683,6.272
8.1551,1.5769,13.8816,2.9127,6.272
8.1551,1.5769,13.8816,3.0163,6.6892
10.8695,1.1899,0.1753,3.1672,6.6892
10.8695,1.1899,0.2122,2.9526,6.6315
6.8848,4.2757,7.3521,3.399,6.6315
6.8848,4.2757,0.2058,3.0984,6.5645
6.8848,4.2757,0.204,3.0643,6.5645
8.7676,0.9925,0.1856,3.1591,6.5645
8.7676,0.9925,0.2079,9.8021,6.8072
7.6494,1.1474,0.1995,2.9269,6.8072
7.6494,1.1474,0.4546,3.134,6.6122
7.9395,1.3089,9.6451,3.0809,6.6122
7.9395,1.3089,0.2408,3.2768,6.3625
7.9395,1.3089,0.2013,2.9749,6.3625
11.3558,1.8341,0.2016,2.9794,6.9605
11.3558,1.8341,0.2303,3.0087,6.9605
13.1323,1.883,0.255,2.9173,6.9605
13.1323,1.883,0.2239,3.4694,6.2083
11.3235,1.1525,9.7665,3.0579,6.2083
11.3235,1.1525,0.2137,3.131,6.8932
18.1836,1.1525,0.2185,3.243,6.8932
18.1836,1.0411,0.2276,3.022,6.9503
18.1836,1.0411,3.0214,3.3755,6.9503
11.2764,1.1314,0.207,3.0552,6.9503
11.2764,1.1314,0.1907,9.5232,5.9632
6.6714,1.0194,11.9979,3.0643,5.9632
6.6714,1.0194,0.195,2.8997,6.7118
12.1703,1.0194,0.2122,3.3827,6.7118
12.1703,4.5884,0.2363,2.9287,7.052
12.1703,4.5884,5.2553,3.1645,7.052
6.6436,1.1652,0.1901,6.7338,6.7655
6.6436,1.1652,0.2248,2.9112,6.7655
11.3788,1.5576,14.2683,3.0114,6.7655
11.3788,1.5576,14.2683,3.1114,6.7933
7.5365,1.9715,0.2224,2.7947,6.7933
7.5365,1.9715,0.2206,3.3824,6.7664
7.5365,1.9715,7.6367,5.9641,6.7664
10.7548,1.2222,0.2055,10.884,6.4881
10.7548,1.2222,0.2239,3.0703,6.4881
9.3589,1.5467,0.1648,3.064,6.4881
9.3589,1.5467,14.5315,9.1986,6.4899
9.4368,1.1588,0.1938,2.9236,6.4899
9.4368,1.1588,0.1922,3.0226,6.3825
13.3636,1.1069,8.2417,2.7905,6.3825
13.3636,1.1069,0.2315,3.1929,6.441
13.3636,1.1069,0.2276,2.9719,6.441
8.5439,1.0813,0.1953,2.9565,6.6427
8.5439,1.0813,0.2107,3.0513,6.6427
11.1358,1.5392,0.2131,2.8795,6.6427
11.1358,1.5392,0.2481,3.2617,6.4268
12.1685,1.7831,8.2586,2.8611,6.4268
12.1685,1.7831,0.2043,3.0087,6.5554
9.1832,1.5637,0.2408,3.0845,6.5554
