tracking_loop_timer, data_log_timer, subject_position_timer, brace_position_timer, brace_command_timer
8.962,1.1933,11.7612,2.8412,6.3797
8.962,1.1933,0.1956,3.6577,6.3797
8.4488,1.1024,0.1672,3.0093,6.1878
8.4488,1.1024,0.2813,3.3184,6.1878
8.4488,1.1024,2.5079,3.0667,6.489
10.7584,1.2618,10.7137,2.9882,6.489
10.7584,1.2618,0.2297,3.08,6.6973
11.0751,1.2222,7.5552,11.1714,6.6973
11.0751,1.2222,0.1931,3.1591,6.6973
7.1299,1.4972,7.1106,3.1192,6.5796
7.1299,1.4972,0.2061,2.9592,6.5796
7.1299,1.4972,10.7841,9.1512,6.1041
9.6137,1.4975,0.2291,3.1799,6.1041
9.6137,1.4975,0.1913,2.8611,6.0927
7.4777,8.4355,0.2813,8.0129,6.0927
7.4777,8.4355,10.8336,2.9529,6.6698
8.3425,1.4408,0.2644,3.0917,6.6698
8.3425,1.4408,0.22,3.2677,6.6698
9.2629,1.1863,9.1832,2.8922,6.5358
9.2629,1.1863,0.2297,2.9058,6.5358
9.2629,1.1863,0.179,3.2505,5.9254
9.2853,1.0296,0.2119,3.153,5.9254
9.2853,1.0296,0.1898,2.8572,6.5805
10.8321,1.2573,10.8393,10.9673,6.5805
10.8321,1.2573,0.2031,3.0507,6.5805
8.0358,1.0529,0.2128,3.1563,6.9165
8.0358,1.0529,0.2251,2.8533,6.9165
6.972,1.5446,6.9394,9.2515,6.6182
6.972,1.5446,8.9689,3.1358,6.6182
6.972,1.5446,0.201,3.0054,6.7492
10.5664,1.113,0.2227,2.8264,6.7492
10.5664,1.113,0.1995,3.4009,6.6922
6.1102,0.985,9.3324,2.8961,6.6922
6.1102,0.985,0.2079,2.9511,6.6922
7.0904,1.0761,0.198,3.0537,6.5947
7.0904,1.0761,0.2544,2.9894,6.5947
7.0904,1.0761,6.8486,3.1491,6.8187
9.8812,7.9024,9.8806,3.275,6.8187
9.8812,7.9024,0.2245,2.9411,6.6312
7.4849,1.5407,8.2399,2.9278,6.6312
7.4849,1.5407,0.2227,2.9459,6.6312
7.8423,1.5546,7.8124,3.0398,6.5216
7.8423,1.5546,0.1944,3.1799,6.5216
7.8423,1.5546,8.1907,9.3921,6.6448
10.6057,1.4815,0.2254,3.1591,6.6448
10.6057,1.4815,0.1925,3.1977,6.5545
13.6129,1.301,13.6123,3.0196,6.5545
13.6129,1.301,16.0644,3.3658,6.5503
7.1371,1.2962,0.2131,3.1748,6.5503
7.1371,1.2962,0.2294,3.2662,6.5503
9.0172,1.5114,13.6836,3.4981,6.6946
9.0172,1.5114,0.2276,3.1201,6.6946
9.0172,1.5114,0.1874,2.984,6.585
6.7332,3.6674,0.1953,2.9043,6.585
6.7332,3.6674,4.1706,2.7488,5.4922
6.8929,1.5051,6.8836,7.011,5.4922
6.8929,1.5051,0.1983,2.9728,5.4922
6.1301,1.0834,8.0654,3.2572,6.3148
6.1301,1.0834,0.2146,2.8056,6.3148
8.2278,1.1917,8.1916,8.7932,6.1328
8.2278,1.1917,14.4533,2.9369,6.1328
8.2278,1.1917,0.2131,2.7859,6.4561
12.9265,1.2485,0.2203,13.0412,6.4561
12.9265,1.2485,0.2085,3.0591,6.4431
7.5534,1.1516,11.9719,2.9915,6.4431
7.5534,1.1516,0.2158,2.9381,6.4431
6.6762,1.0118,0.1874,2.9218,6.6381
6.6762,1.0118,0.2173,3.2744,6.6381
6.6762,1.0118,0.8035,3.5135,6.6276
9.5935,1.049,0.2366,3.3589,6.6276
9.5935,1.049,0.1974,3.2837,6.7625
8.9478,1.5549,9.6188,3.0289,6.7625
8.9478,1.5549,0.2188,3.2955,6.7625
8.2652,1.1951,8.2357,3.2064,6.5337
8.2652,1.1951,0.1844,3.3233,6.5337
8.2652,1.1951,12.2385,9.7668,6.9059
6.684,1.1745,0.1856,3.1678,6.9059
6.684,1.1745,0.3432,2.9656,6.656
10.941,1.1299,10.9211,2.8469,6.656
10.941,1.1299,11.8892,3.3323,6.7278
6.9442,1.0912,0.195,2.9574,6.7278
6.9442,1.0912,0.2137,2.9749,6.7278
8.1705,1.5452,9.6723,2.9616,6.5911
8.1705,1.5452,0.2312,2.9571,6.5911
8.1705,1.5452,0.1877,9.1706,6.5745
14.5128,1.228,0.1995,3.0745,6.5745
14.5128,1.228,15.8948,2.907,7.1287
11.2496,1.1422,0.1889,3.2931,7.1287
11.2496,1.1422,0.2511,3.3849,7.1287
7.8625,1.1978,0.2475,3.0154,6.486
7.8625,1.1978,6.9289,3.0845,6.486
8.7422,1.1978,8.7153,2.9417,6.6837
8.7422,4.3463,0.2306,3.3269,6.6837
8.7422,4.3463,7.647,3.1367,6.668
