tracking_loop_timer, data_log_timer, subject_position_timer, brace_position_timer, brace_command_timer
6.512,0.9982,6.9711,2.897,5.5798
6.512,0.9982,0.1947,2.8388,5.5798
6.512,0.9982,0.1738,2.7711,5.2498
10.2555,1.4435,0.1814,3.1578,5.2498
10.2555,1.4435,10.5251,2.971,6.4969
12.0909,1.7233,0.2405,3.1696,6.4969
12.0909,1.7233,0.1971,2.9043,6.7667
7.3219,1.1425,14.7613,3.025,6.7667
7.3219,1.1425,0.2336,2.9659,6.7667
12.4432,1.4918,0.2185,2.9665,9.5745
12.4432,1.4918,0.2209,2.9007,9.5745
12.4432,1.4918,0.1956,2.8469,5.4328
9.3363,13.2987,0.2931,9.3933,5.4328
9.3363,13.2987,0.3317,2.8137,6.0555
10.8761,1.589,0.1829,2.8729,6.0555
10.8761,1.589,2.6899,3.0371,6.0555
8.1614,1.4776,0.354,3.064,6.2219
8.1614,1.4776,0.2239,3.0905,6.2219
8.1614,1.4776,0.3139,3.086,6.9784
8.0896,1.2379,0.6408,8.1421,6.9784
8.0896,1.2379,0.204,3.2668,5.699
12.2627,1.5618,3.8322,3.1663,5.699
12.2627,1.5618,0.3263,3.0223,6.563
7.887,1.2334,0.2025,3.4757,6.563
7.887,1.2334,9.6204,3.3622,6.563
8.795,1.2102,0.2254,9.2315,6.4582
8.795,1.2102,0.2113,3.2759,6.4582
8.795,1.2102,0.2427,2.9731,6.4229
10.5631,3.9645,15.4547,10.6422,6.4229
10.5631,3.9645,0.3224,3.0754,6.6146
7.5187,1.5389,0.2143,2.8207,6.6146
7.5187,1.5389,0.2176,3.1669,6.336
7.7895,1.039,7.0004,3.1065,6.336
7.7895,1.039,0.3269,2.9785,6.336
10.1788,1.579,10.1507,2.8729,6.5415
10.1788,1.579,11.987,2.9486,6.5415
10.1788,1.579,0.217,3.0926,6.6988
15.2186,1.4725,0.207,3.0948,6.6988
15.2186,1.4725,0.2378,3.0948,6.4619
8.1366,1.1419,15.7233,2.9568,6.4619
8.1366,1.1419,0.198,2.9049,6.4619
8.3603,1.0662,0.2264,9.4902,6.758
8.3603,1.0662,0.3531,2.92,6.758
7.7249,3.9475,12.6195,3.0676,6.6898
7.7249,3.9475,0.2919,2.8225,6.6898
7.7249,3.9475,0.2393,3.4024,6.6378
7.7026,1.1519,15.1854,2.8934,6.6378
7.7026,1.1519,0.2119,3.0075,6.5926
10.6494,1.3143,10.6105,3.0628,6.5926
10.6494,1.3143,0.2182,3.0129,6.5926
8.2809,1.2739,9.7402,2.8825,6.8105
8.2809,1.2739,0.2158,2.9432,6.8105
8.2809,1.2739,0.2816,3.1005,6.7203
13.782,1.1114,13.782,3.1778,6.7203
13.782,1.1114,0.2264,3.2686,6.6095
10.3005,1.5954,0.3749,2.9677,6.6095
10.3005,1.5954,6.0175,2.974,6.6095
7.4336,1.0369,7.4106,9.4284,6.7513
7.4336,1.0369,0.2233,2.939,6.7513
7.4336,1.0369,0.2496,3.0679,6.5337
16.7005,1.5546,10.8532,16.7738,6.5337
16.7005,1.5546,0.2185,2.8662,6.5615
11.0896,1.4607,11.0561,2.9873,6.5615
11.0896,1.4607,0.204,2.9345,6.7471
11.4853,1.2068,2.3878,3.3897,6.7471
11.4853,1.2068,0.1941,2.9622,6.7471
11.4853,1.2068,0.3048,3.4072,6.7311
8.4627,3.6297,2.4847,8.5399,6.7311
8.4627,3.6297,0.1977,2.9293,6.665
10.2833,1.5039,0.2433,3.1627,6.665
10.2833,1.5039,0.2967,3.1319,6.5947
9.6937,1.1495,9.6584,3.0368,6.5947
9.6937,1.1495,0.2273,3.1506,6.5947
7.7373,1.3068,0.2384,8.8922,6.1796
7.7373,1.3068,0.2955,3.3426,6.1796
7.7373,1.3068,5.6598,3.006,6.9198
11.9415,1.4728,11.8687,3.367,6.9198
11.9415,1.4728,0.3296,3.2683,6.5443
7.0804,1.0674,4.094,3.0815,6.5443
7.0804,1.0674,0.2454,2.9637,5.9722
6.6203,1.2811,0.2399,3.0914,5.9722
6.6203,1.2811,0.2571,2.984,5.9722
10.2256,1.2811,7.2054,2.8019,6.1558
10.2256,6.6342,0.2789,2.8406,6.1558
10.2256,6.6342,0.2173,2.7231,6.0516
11.4068,1.567,11.3857,2.9785,6.0516
11.4068,1.567,1.4936,2.651,6.3151
7.8535,1.1634,0.4205,3.0486,6.3151
7.8535,1.1634,0.2321,2.8481,6.3151
9.298,1.1169,9.2487,8.9469,6.237
9.298,1.1169,0.2098,3.0649,6.237
9.298,1.1169,0.2233,2.8146,5.3223
11.6097,1.5208,0.2282,11.6761,5.3223
11.6097,1.5208,0.201,3.1636,6.6333
9.9708,1.3369,0.2596,3.1437,6.6333
9.9708,1.3369,0.2315,2.9242,6.8682
