tracking_loop_timer, data_log_timer, subject_position_timer, brace_position_timer, brace_command_timer
8.354,1.061,2.2646,2.9112,6.1274
8.354,1.061,0.1844,2.68,6.1274
8.354,1.061,0.2236,2.766,5.6396
9.707,1.4994,0.3365,2.885,5.6396
9.707,1.4994,11.1388,3.2451,6.4142
15.1933,1.3783,0.1829,2.9858,6.4142
15.1933,1.3783,0.2239,3.0015,6.5805
8.7923,1.5893,4.4897,3.0184,6.5805
8.7923,1.5893,0.1829,2.8732,6.5805
8.7054,1.1607,0.2116,9.8709,7.0025
8.7054,1.1607,0.2113,2.996,7.0025
8.7054,1.1607,13.2208,3.0951,6.8727
6.5739,5.8457,0.1814,6.6732,6.8727
6.5739,5.8457,0.2348,2.9544,6.4338
13.2356,1.0456,0.3604,3.374,6.4338
13.2356,1.0456,6.5639,2.9885,6.4338
7.4716,1.3708,0.1663,2.9834,6.7269
7.4716,1.3708,0.2119,3.2306,6.7269
7.4716,1.3708,0.2022,2.9562,6.7562
7.9193,1.1247,0.2107,2.9185,6.7562
7.9193,1.1247,0.2318,3.0609,6.688
11.8165,1.525,6.5509,3.172,6.688
11.8165,1.525,0.2013,3.278,6.6279
7.5734,1.1573,0.1796,2.8792,6.6279
7.5734,1.1573,0.2873,3.0099,6.6279
7.8864,1.2256,15.4435,3.0878,9.6711
7.8864,1.2256,0.3402,2.8587,9.6711
7.8864,1.2256,0.2131,3.4126,6.5892
14.6614,1.1374,8.6852,14.8672,6.5892
14.6614,1.1374,0.1928,2.9704,6.6828
10.2972,1.1471,0.1874,3.1126,6.6828
10.2972,1.1471,0.2073,2.8928,6.6828
6.0673,1.0426,1.9002,2.8744,6.6575
6.0673,1.0426,0.22,3.0836,6.6575
6.0673,1.0426,0.2239,3.0966,6.6469
7.6956,5.9408,0.3368,3.1696,6.6469
7.6956,5.9408,10.6799,2.9299,6.7526
8.3374,1.1163,0.2523,2.9387,6.7526
8.3374,1.1163,0.2091,2.8225,6.1567
10.801,1.0701,4.0128,2.8741,6.1567
10.801,1.0701,0.201,3.1636,6.1567
8.1294,1.0997,0.1965,9.4223,6.672
8.1294,1.0997,0.2079,2.9586,6.672
8.1294,1.0997,12.8528,3.0199,6.6225
12.4429,1.2467,0.1759,12.5356,6.6225
12.4429,1.2467,0.1959,3.2955,6.4926
7.6214,1.1184,0.2873,2.9776,6.4926
7.6214,1.1184,6.109,3.0733,6.4926
6.9062,1.0628,0.191,3.1814,6.3834
6.9062,1.0628,0.1889,2.8285,6.3834
6.9062,1.0628,0.1778,3.441,6.729
12.1996,1.3511,0.1935,3.0377,6.729
12.1996,1.3511,0.169,3.137,6.4748
8.5445,1.1718,6.0909,3.1781,6.4748
8.5445,1.1718,0.2067,3.0093,6.6656
9.1066,1.2811,0.1956,2.8877,6.6656
9.1066,1.2811,0.3574,3.1485,6.6656
9.4468,1.2811,14.8709,2.7555,8.9695
9.4468,6.2524,0.2427,3.1974,8.9695
9.4468,6.2524,0.1633,2.9191,6.6043
8.0645,1.0852,8.2568,8.2864,6.6043
8.0645,1.0852,0.2119,3.0329,6.678
12.1018,1.1519,0.1639,3.0893,6.678
12.1018,1.1519,0.2164,3.2653,6.678
8.2782,1.1281,1.4876,2.9423,6.1926
8.2782,1.1281,0.2022,3.0673,6.1926
8.2782,1.1281,0.1935,3.0769,5.7573
12.4541,1.5,0.3746,3.367,5.7573
12.4541,1.5,10.3621,2.8693,6.8211
8.7443,1.0514,0.1765,3.0685,6.8211
8.7443,1.0514,0.2206,3.0754,6.2149
6.7106,1.2736,3.6798,3.0815,6.2149
6.7106,1.2736,0.2098,2.9357,6.2149
14.4211,1.2736,0.207,9.2186,5.7256
14.4211,1.4903,0.2125,3.0878,5.7256
14.4211,1.4903,12.4972,2.7932,6.486
7.1743,1.5474,0.2475,7.3026,6.486
7.1743,1.5474,0.201,2.8973,6.5748
8.565,1.6494,3.7115,3.1841,6.5748
8.565,1.6494,5.7162,3.0443,6.5748
7.2431,6.0081,0.3531,2.8847,6.355
7.2431,6.0081,0.2218,3.2602,6.355
7.2431,6.0081,0.2116,2.9447,6.8169
6.6738,1.1211,0.2194,3.0984,6.8169
6.6738,1.1211,0.2128,3.1995,6.8353
9.8833,1.1441,5.8578,2.8816,6.8353
9.8833,1.1441,0.2152,2.6951,5.9444
9.7698,1.269,0.2079,3.1017,5.9444
