tracking_loop_timer, data_log_timer, subject_position_timer, brace_position_timer, brace_command_timer
5.3947,0,0.1853,2.789,0
5.3947,0,0.2022,2.7663,0
10.9245,1.781,11.0063,3.0628,6.7658
10.9245,1.781,0.1886,2.7621,6.7658
12.6817,1.228,0.2218,2.8922,6.0063
12.6817,1.228,14.0772,2.801,6.0063
8.0633,1.0873,8.1339,8.9245,5.8225
8.0633,1.0873,0.1796,3.2215,5.8225
7.4949,1.0302,0.1784,3.0114,5.8225
7.4949,1.0302,0.2119,3.5959,6.3465
7.4949,1.0302,0.1877,3.1772,6.3465
11.543,1.1785,0.2079,2.9176,6.3408
11.543,1.1785,14.028,3.0123,6.3408
7.4073,1.1208,0.1919,2.9734,6.6016
7.4073,1.1208,0.2076,3.1889,6.6016
9.2391,1.0523,9.3028,2.8216,6.6016
9.2391,1.0523,0.2137,3.1168,6.3933
7.8079,1.0523,0.1838,7.9347,6.3933
7.8079,10.9957,0.1765,2.9164,6.7351
7.8079,10.9957,15.963,3.412,6.7351
7.3065,1.0653,0.2049,3.185,6.6083
7.3065,1.0653,0.1931,3.1778,6.6083
6.9491,1.2545,0.1968,9.1537,6.5726
6.9491,1.2545,3.7006,3.0329,6.5726
7.7892,1.1444,0.1778,7.8979,6.5726
7.7892,1.1444,0.2629,2.981,6.5062
7.7892,1.1444,0.1944,2.9317,6.5062
12.8519,1.1649,0.1959,3.1017,6.6149
12.8519,1.1649,0.1956,2.9831,6.6149
6.8582,0.9952,0.2104,2.9791,5.7078
6.8582,0.9952,11.5889,3.23,5.7078
10.0813,1.5471,0.1811,2.8681,5.7078
10.0813,1.5471,0.2553,3.1035,6.5681
10.0813,1.5471,0.2707,3.1108,6.5681
11.2088,1.1377,11.3006,3.0126,6.5597
11.2088,1.1377,0.1765,2.9976,6.5597
8.7458,1.084,12.1153,2.9484,6.4857
8.7458,1.084,10.759,2.8807,6.4857
10.5073,1.554,0.211,9.486,6.6137
10.5073,1.554,0.2351,3.0803,6.6137
9.5911,4.541,0.1841,2.9698,6.6137
9.5911,4.541,0.2143,3.2629,6.9959
9.5911,4.541,0.2324,3.1319,6.9959
8.2526,0.9904,0.3803,3.1443,6.4658
8.2526,0.9904,13.1173,3.1657,6.4658
8.939,1.4046,0.2173,2.9767,6.6798
8.939,1.4046,0.2049,2.9293,6.6798
8.5644,1.1024,8.6281,2.8548,6.6798
8.5644,1.1024,0.2463,2.9846,6.3985
11.7142,3.8745,0.185,11.8449,6.3985
11.7142,3.8745,0.2728,3.3423,6.531
11.7142,3.8745,12.9437,3.013,6.531
8.1744,1.3273,0.2203,3.4226,6.6466
8.1744,1.3273,0.2339,3.2837,6.6466
10.0723,1.3146,0.2037,2.9215,8.9523
10.0723,1.3146,3.9023,2.8684,8.9523
13.1254,1.1217,0.2098,2.7844,8.9523
13.1254,1.1217,0.2182,2.8901,6.1564
13.1254,1.1217,13.5541,2.8297,6.1564
10.0723,1.2346,0.2076,2.8101,5.5967
10.0723,1.2346,0.2478,2.7422,5.5967
7.5278,1.0118,0.2282,2.8062,5.6984
7.5278,1.0118,11.3356,2.7902,5.6984
9.2343,10.4831,0.2158,2.7917,5.6984
9.2343,10.4831,0.4084,3.2762,5.578
9.2343,10.4831,0.2161,3.2958,5.578
11.0102,1.5996,0.2046,3.0214,6.6877
11.0102,1.5996,0.2001,3.003,6.6877
10.5284,1.0444,6.3477,2.9302,6.6339
10.5284,1.0444,10.2108,3.013,6.6339
7.0587,0.9913,0.198,9.6702,6.7692
7.0587,0.9913,0.2143,3.2726,6.7692
13.7606,1.5987,0.2399,13.9529,6.7692
13.7606,1.5987,0.2164,3.1047,7.0593
13.7606,1.5987,0.2399,3.4172,7.0593
7.9857,1.0565,0.2113,3.323,6.8972
7.9857,1.0565,13.2368,3.192,6.8972
8.9831,1.2192,0.1799,3.1476,6.6825
8.9831,1.2192,0.2091,3.1729,6.6825
15.2114,1.7306,2.7826,3.0884,6.6825
15.2114,1.7306,0.2327,2.8723,6.6264
15.2114,1.7306,0.1928,2.9067,6.6264
7.593,1.3004,0.1859,2.8919,6.4021
7.593,1.3004,12.3248,2.7871,6.4021
8.1191,1.135,0.1959,2.9948,6.381
8.1191,1.135,0.1913,2.9722,6.381
12.2853,5.5946,0.1877,3.3209,10.0149
12.2853,5.5946,8.9463,3.1726,10.0149
8.6852,1.2186,0.172,3.099,10.0149
8.6852,1.2186,0.2348,3.3281,7.036
8.6852,1.2186,0.1889,3.0706,7.036
9.9862,1.3774,0.1847,2.8762,6.6916
9.9862,1.3774,0.2242,2.8267,6.6916
8.6272,1.464,0.204,2.9085,6.7933
8.6272,1.464,11.0066,3.1295,6.7933
12.8589,1.5072,0.2191,3.0942,6.7933
12.8589,1.5072,0.1992,2.9997,7.0079
8.1412,1.1513,0.4923,8.2514,7.0079
8.1412,1.1513,0.895,3.2478,6.6623
8.1412,1.1513,0.2107,3.1917,6.6623
8.5704,1.3382,10.5604,3.2161,6.6264
8.5704,1.3382,12.4637,3.1014,6.6264
12.79,1.2645,0.2508,9.3686,6.6068
12.79,1.2645,0.1938,2.981,6.6068
11.134,1.4994,0.2288,2.8493,6.6068
11.134,1.4994,0.1977,2.814,6.5005
11.134,1.4994,0.1971,3.0779,6.5005
8.46,1.5078,0.1738,2.9752,6.6457
8.46,1.5078,12.5848,3.3024,6.6457
8.7313,5.44,0.1919,3.2714,6.595
8.7313,5.44,0.1919,3.2164,6.595
10.0557,1.0719,0.2976,3.1778,6.595
10.0557,1.0719,0.223,2.9686,6.7142
10.0557,1.0719,0.2137,2.9565,6.7142
8.2112,1.2461,0.2387,3.0534,6.7381
8.2112,1.2461,14.457,2.9514,6.7381
7.6093,0.9898,0.1998,2.9112,6.5168
7.6093,0.9898,0.2052,3.1111,6.5168
20.627,1.4218,0.2064,9.3574,6.4582
20.627,1.4218,3.1971,3.08,6.4582
8.6396,1.5818,0.1654,2.942,6.4582
8.6396,1.5818,0.2221,2.888,5.4835
8.6396,1.5818,1.9546,2.8134,5.4835
7.494,1.0121,0.2101,3.0616,6.1681
7.494,1.0121,0.2091,2.6712,6.1681
14.4854,1.4631,14.5744,2.9381,6.4039
14.4854,1.4631,10.1133,2.8267,6.4039
10.0862,1.5132,0.1765,2.8623,6.4039
10.0862,1.5132,0.1995,3.0591,6.6019
10.0862,1.5132,0.2197,2.9867,6.6019
8.4277,1.103,0.1892,3.217,6.8117
8.4277,1.103,0.2055,3.2113,6.8117
7.5891,4.7149,1.7469,3.1153,6.5132
7.5891,4.7149,0.2152,3.15,6.5132
8.664,1.2026,0.2191,9.2276,6.5576
8.664,1.2026,0.2348,3.0271,6.5576
7.7436,1.1078,0.1829,7.8761,6.5576
7.7436,1.1078,0.1947,3.2545,6.5548
7.7436,1.1078,0.2258,2.8895,6.5548
6.9989,1.1,0.2161,3.089,6.5838
6.9989,1.1,11.7105,3.1467,6.5838
13.4131,1.1905,0.2101,2.9399,6.9844
13.4131,1.1905,0.2348,3.3625,6.9844
9.5428,1.4948,9.617,3.2194,6.9844
9.5428,1.4948,0.2339,3.1609,6.7523
9.2783,1.356,0.2276,9.3976,6.7523
9.2783,1.356,0.214,2.9559,6.7456
9.2783,1.356,11.6242,2.8952,6.7456
11.4349,1.7436,0.2185,2.8729,6.7191
11.4349,1.7436,0.2025,2.9112,6.7191
10.9175,1.2899,0.2312,9.528,6.7951
10.9175,1.2899,2.5478,3.0477,6.7951
9.1102,1.042,9.1651,9.2777,6.7951
9.1102,1.042,0.2016,3.3432,6.8643
9.1102,1.042,16.1085,3.2711,6.8643
8.1572,1.9522,0.2215,3.1835,6.6822
8.1572,1.9522,0.252,3.0676,6.6822
8.6293,1.4652,0.2209,3.0546,6.6985
8.6293,1.4652,10.3092,2.9719,6.6985
9.1875,1.0384,0.2131,2.9369,6.6985
9.1875,1.0384,0.2414,3.1494,6.6874
9.1875,1.0384,0.1962,3.1388,6.6874
7.0662,1.308,0.2254,3.0048,6.6167
7.0662,1.308,0.1977,2.9305,6.6167
13.9471,1.6147,4.9507,3.3106,6.8576
13.9471,1.6147,0.214,3.2137,6.8576
11.4376,1.1978,0.2665,3.0785,9.9189
11.4376,1.1978,0.2224,3.0763,9.9189
7.1405,1.193,4.2555,3,9.9189
7.1405,1.193,0.2478,3.3046,6.6614
7.1405,1.193,0.2242,3.0009,6.6614
8.8174,11.2556,8.8959,2.8952,6.6955
8.8174,11.2556,11.8663,3.1174,6.6955
11.9801,1.3176,0.1956,3.0211,6.7791
11.9801,1.3176,0.2064,2.9553,6.7791
14.4208,1.621,14.5032,3.3897,6.7791
14.4208,1.621,0.2233,3.128,6.806
7.2857,1.0019,0.1992,7.4414,6.806
7.2857,1.0019,0.1895,3.0969,6.8063
7.2857,1.0019,11.6879,2.7428,6.8063
9.4839,1.1099,0.1732,3.0314,6.2122
9.4839,1.1099,0.2375,2.9115,6.2122
9.4981,1.1042,0.2221,2.9148,9.5422
9.4981,1.1042,7.8453,3.185,9.5422
8.168,1.3379,0.2107,8.3108,9.5422
8.168,1.3379,0.2242,3.4304,7.0089
8.168,1.3379,14.3196,3.2545,7.0089
13.9495,1.5845,0.1919,3.3692,6.8715
13.9495,1.5845,0.2119,3.1965,6.8715
10.235,1.2416,0.1693,3.1053,6.6366
10.235,1.2416,9.7254,3.0673,6.6366
9.0154,1.4975,0.2028,2.9897,6.6366
9.0154,1.4975,0.2279,2.9643,6.5859
9.0154,1.4975,0.2469,2.9324,6.5859
12.0713,1.7753,0.1811,3.0827,6.6865
12.0713,1.7753,0.2004,3.0117,6.6865
11.2091,1.5951,10.2431,3.0981,6.8323
11.2091,1.5951,0.2351,3.3728,6.8323
9.5869,1.4707,0.2206,9.7215,6.8643
9.5869,1.4707,0.2402,3.1926,6.8643
10.3512,1.2256,15.359,10.4849,6.8643
10.3512,1.2256,0.2037,3.0232,6.6161
10.3512,1.2256,0.2073,2.9586,6.6161
11.5943,1.1202,0.2333,2.9701,6.6022
11.5943,1.1202,12.0815,2.7615,6.6022
8.2133,1.1063,0.2025,2.8729,6.6375
8.2133,1.1063,0.2088,3.0839,6.6375
11.3404,1.791,11.4186,2.964,6.6375
11.3404,1.791,0.2004,3.3079,5.8346
11.3404,1.791,0.211,3.3239,5.8346
12.9503,3.6961,0.207,3.2412,6.7296
12.9503,3.6961,15.1664,3.1572,6.7296
