tracking_loop_timer, data_log_timer, subject_position_timer, brace_position_timer, brace_command_timer
7.4206,0,7.5924,2.9979,0
10.4433,2.3455,0.1832,2.6341,0
10.4433,2.3455,0.1859,2.7856,18.3315
13.254,1.2488,0.1947,3.2701,18.3315
13.254,1.2488,0.9433,2.8231,6.2101
13.254,1.2488,0.2363,2.9843,6.2101
6.1902,1.659,0.191,2.7881,6.3583
6.1902,1.659,0.2158,2.7117,6.3583
5.3096,1.8532,9.4492,2.8859,6.3583
5.3096,1.8532,0.1889,2.6661,6.3357
6.1645,1.1694,0.1892,2.8475,6.3357
6.1645,1.1694,3.3187,2.7968,5.9638
6.1645,1.1694,0.2194,2.8258,5.9638
5.4542,1.2446,0.2182,5.4998,5.6734
5.4542,1.2446,0.22,2.6839,5.6734
13.1583,1.1745,0.1675,2.7274,5.6734
13.1583,1.1745,0.1805,2.8219,8.3
9.2934,1.5944,0.3368,2.7881,8.3
9.2934,1.5944,3.3547,3.0262,5.3615
9.2934,1.5944,0.2058,2.7908,5.3615
7.9389,1.3786,0.1765,7.9794,5.4633
7.9389,1.3786,4.5972,2.9586,5.4633
8.0301,1.033,0.1898,2.8868,6.2249
8.0301,1.033,0.1826,2.8294,6.2249
8.4126,10.4581,0.1907,3.3559,6.2249
8.4126,10.4581,13.5526,2.7579,6.5074
8.8267,1.5706,0.2451,2.9758,6.5074
8.8267,1.5706,0.2251,3.2234,6.8513
8.8267,1.5706,0.2312,3.3109,6.8513
5.5502,1.0103,6.3194,5.5988,6.7951
5.5502,1.0103,0.2203,2.9837,6.7951
5.6088,1.0577,0.2064,3.0283,6.7951
5.6088,1.0577,15.986,9.3112,6.5252
8.4237,1.6409,0.1928,2.801,6.5252
8.4237,1.6409,0.1995,2.9471,6.7399
6.4945,6.7251,0.2309,2.9973,6.7399
6.4945,6.7251,9.3124,2.8324,6.6119
6.4945,6.7251,0.2276,3.2798,6.6119
5.7117,1.4399,0.1747,3.0664,6.6864
5.7117,1.4399,0.2218,3.0217,6.6864
5.5879,1.0722,2.0744,3.0999,6.6864
5.5879,1.0722,0.3619,2.9523,6.6221
6.6122,1.2096,0.1621,3.2925,6.6221
6.6122,1.2096,2.9637,3.1563,6.6707
6.6122,1.2096,0.3993,2.916,6.6707
5.642,1.1637,0.1901,3.028,6.6363
5.642,1.1637,0.2248,2.8164,6.6363
5.5357,6.8437,11.9004,3.304,6.6363
5.5357,6.8437,0.1738,9.3613,6.5898
8.8844,1.5163,0.3543,3.0691,6.5898
8.8844,1.5163,0.2076,3.1431,6.5379
5.536,1.0798,0.1817,3.195,6.5379
5.536,1.0798,0.1853,2.8397,6.8344
5.536,1.0798,14.1635,2.9311,6.8344
9.3668,1.7309,0.2161,3.08,6.6074
9.3668,1.7309,0.2221,2.8856,6.6074
8.1197,1.183,0.2674,3.2861,6.6074
8.1197,1.183,7.5549,2.8871,6.8398
14.3263,1.1401,0.2345,3.0317,6.8398
14.3263,1.1401,0.1781,3.0456,6.3966
7.3337,1.1522,0.1935,3.2137,6.3966
7.3337,1.1522,0.4609,3.3547,7.0004
7.3337,1.1522,0.1868,2.8225,7.0004
5.8967,1.2129,0.2007,3.1654,7.0004
5.8967,1.2129,6.0386,9.3831,6.6487
5.3241,1.1591,0.1862,3.0283,6.6487
5.3241,1.1591,0.3027,3.2547,6.6164
8.3987,1.2449,0.2251,2.8536,6.6164
8.3987,1.2449,14.9653,3.4938,6.4546
8.3987,1.2449,0.2134,3.1201,6.4546
12.1839,19.2344,0.2067,2.8038,6.6895
12.1839,19.2344,0.2288,2.8898,6.6895
5.245,1.1978,9.1606,3.2134,6.6895
5.245,1.1978,0.1928,2.8614,6.4745
7.9441,1.634,0.1778,2.7784,6.4745
7.9441,1.634,3.1086,2.9257,6.0996
7.9441,1.634,0.3124,2.7956,6.0996
6.0208,1.1398,0.2031,3.0217,5.478
6.0208,1.1398,0.2107,3.0114,5.478
5.7093,1.2443,12.0049,2.8345,5.478
5.7093,1.2443,0.2366,9.3906,6.7701
9.2983,1.1311,0.3459,2.9336,6.7701
9.2983,1.1311,0.2037,3.0522,6.7073
9.2983,1.1311,4.7804,2.9966,6.7073
8.7008,1.1102,0.2004,8.7549,6.0081
8.7008,1.1102,0.233,3.2777,6.0081
9.0791,1.3345,14.5189,2.7802,6.2406
9.0791,1.3345,0.3021,3.0093,6.2406
8.2707,1.1271,0.1904,3.0238,6.2406
8.2707,1.1271,0.2233,2.715,5.271
8.2354,9.4607,7.8816,3.2602,5.271
8.2354,9.4607,0.2061,2.9426,6.8193
8.2354,9.4607,0.1784,3.0096,6.8193
10.5682,1.1679,0.1916,3.0957,6.6137
10.5682,1.1679,0.7084,2.8433,6.6137
6.1105,1.3315,0.2297,2.9345,6.6137
6.1105,1.3315,0.2152,10.0744,6.8362
8.0298,1.0559,0.1916,3.1669,6.8362
8.0298,1.0559,0.2333,3.275,6.0489
8.0886,1.5467,0.2055,3.0241,6.0489
8.0886,1.5467,2.0083,2.9809,5.9381
8.0886,1.5467,0.1859,3.0386,5.9381
5.8569,7.3469,0.2146,2.8249,7.1224
5.8569,7.3469,0.1808,2.9094,7.1224
9.1217,1.6083,10.9878,2.955,7.1224
9.1217,1.6083,0.2091,9.5093,6.6267
5.4352,0.9988,0.2463,3.2366,6.6267
5.4352,0.9988,1.6352,3.0459,6.4939
6.8437,1.3699,0.2073,2.8354,6.4939
6.8437,1.3699,0.2185,3.2481,6.5156
6.8437,1.3699,0.2149,2.9571,6.5156
6.6436,1.5326,10.6286,3.0446
