tracking_loop_timer, data_log_timer, subject_position_timer, brace_position_timer, brace_command_timer
10.1384,1.1462,0.2055,2.8336,6.4105
10.1384,1.1462,0.2013,2.6655,6.4105
10.1384,1.1462,0.2137,2.8038,5.2393
7.0315,1.1543,7.0212,7.1115,5.2393
7.0315,1.1543,0.1723,2.8961,6.3565
21.6437,1.0613,0.2421,2.8865,6.3565
21.6437,1.0613,3.4854,2.9508,6.1482
9.1479,1.0589,0.1965,3.1748,6.1482
9.1479,1.0589,0.1901,2.6954,6.1482
7.8468,1.1413,0.2704,2.9909,6.083
7.8468,1.1413,5.1463,2.821,6.083
7.8468,1.1413,0.217,2.9903,6.2931
10.9712,4.5193,10.9555,2.7005,6.2931
10.9712,4.5193,0.1919,2.8554,6.3351
10.5993,1.029,5.6154,2.9182,6.3351
10.5993,1.029,0.2206,2.9973,6.3351
8.9137,1.5504,0.214,9.1893,6.2656
8.9137,1.5504,0.214,3.2004,6.2656
8.9137,1.5504,0.2378,2.8128,6.2041
10.3292,1.6916,0.2294,10.3919,6.2041
10.3292,1.6916,9.2222,2.7941,6.7987
9.7393,1.5072,0.172,3.1044,6.7987
9.7393,1.5072,0.2288,2.9245,6.6704
9.1763,1.1942,0.4452,3.1651,6.6704
9.1763,1.1942,0.4497,2.9345,6.6704
8.821,1.5621,0.7845,3.0129,6.7015
8.821,1.5621,0.2227,3.1666,6.7015
8.821,1.5621,6.7568,2.9885,6.6892
13.7237,1.084,0.2484,3.0975,6.6892
13.7237,1.084,0.2085,3.1428,6.6294
11.6188,1.2687,11.5946,3.0253,6.6294
11.6188,1.2687,3.9847,2.9384,6.6294
8.4258,1.5709,0.2641,9.3713,6.7024
8.4258,1.5709,0.2321,2.9317,6.7024
8.4258,1.5709,0.6161,3.5092,6.6617
9.605,3.8156,9.6019,9.6551,6.6617
9.605,3.8156,0.1983,3.5077,6.6816
9.4848,1.285,0.2055,3.2858,6.6816
9.4848,1.285,11.1626,3.2351,6.7272
6.6406,1.0106,0.3507,2.8994,6.7272
6.6406,1.0106,0.1865,3.4268,6.7272
6.6406,1.0106,0.2487,3.0766,5.8152
9.8597,1.9993,8.9061,9.9159,5.8152
9.8597,1.9993,0.2167,3.1095,6.5289
13.7889,1.4885,13.7708,2.9707,6.5289
13.7889,1.4885,0.3193,2.9022,6.7483
7.1592,1.2038,0.1931,3.3791,6.7483
7.1592,1.2038,0.2218,3.0241,6.7483
6.3209,1.4366,6.291,9.3318,6.5663
6.3209,1.4366,1.218,2.9643,6.5663
6.3209,1.4366,0.2076,2.9948,6.8069
13.5486,1.6267,0.2668,13.619,6.8069
13.5486,1.6267,0.2197,3.1165,6.995
8.8802,1.2277,4.2715,2.9477,6.995
8.8802,1.2277,0.2107,3.0223,6.5745
7.2977,1.0339,0.4609,2.7977,6.5745
7.2977,1.0339,0.3012,2.99,6.5745
8.124,5.9795,7.2256,3.092,6.6532
8.124,5.9795,0.2236,3.336,6.6532
8.124,5.9795,14.6927,2.9583,6.5977
7.2929,1.0462,0.2248,2.9677,6.5977
7.2929,1.0462,0.2248,3.1237,6.4145
9.6152,1.4867,0.2122,2.8997,6.4145
9.6152,1.4867,8.3039,3.0069,6.4145
10.056,1.151,0.2091,2.7721,8.0923
10.056,1.151,0.3054,2.6604,8.0923
10.056,1.151,3.0335,2.9426,6.3743
7.8746,1.0043,1.707,7.9299,6.3743
7.8746,1.0043,0.3045,2.8119,6.2442
7.3629,1.4719,0.2224,3.1156,6.2442
7.3629,1.4719,5.0491,2.7829,6.4449
9.6587,1.2518,0.2073,2.9924,6.4449
9.6587,1.2518,0.1922,3.1406,6.4449
9.7882,1.0807,0.2221,2.9828,6.6052
9.7882,1.0807,4.1024,3.0084,6.6052
9.7882,1.0807,0.1708,3.0625,6.668
9.3985,1.1676,0.1925,2.9465,6.668
9.3985,1.1676,0.3266,3.2798,6.7405
8.1348,1.0233,1.3695,2.9103,6.7405
8.1348,1.0233,0.2399,2.8255,6.7405
12.5286,1.0897,0.2161,9.4178,6.8609
12.5286,1.0897,15.032,2.9384,6.8609
12.5286,1.0897,0.2098,3.0289,6.6997
8.2994,1.5718,0.2318,8.3522,6.6997
8.2994,1.5718,0.2327,3.3015,6.6768
8.0053,1.1066,10.5184,2.9179,6.6768
8.0053,1.1066,0.2224,3.0794,6.652
11.1859,4.4761,0.4425,2.9465,6.652
11.1859,4.4761,0.3405,3.5261,6.652
11.1859,4.4761,7.5628,3.1518,6.7791
11.054,1.2382,0.2182,11.1294,6.7791
11.054,1.2382,0.2925,3.0374,6.9307
8.3452,1.0354,2.0279,3.1089,6.9307
8.3452,1.0354,0.3082,2.8982,6.7058
8.7461,1.311,8.7174,2.9873,6.7058
8.7461,1.311,0.3637,3.1301,6.7058
10.6941,1.5217,3.428,9.1736,6.5186
10.6941,1.5217,0.4066,3.3692,6.5186
10.6941,1.5217,0.3251,3.086,6.6466
8.4708,1.0052,8.4651,8.546,6.6466
8.4708,1.0052,0.2339,2.9176,6.6249
7.5223,1.0586,0.1919,3.2741,6.6249
7.5223,1.0586,11.5252,3.3701,6.9778
13.0563,1.0894,0.2239,3.3734,6.9778
13.0563,1.0894,0.2541,3.0175,6.9778
8.2643,1.1262,0.2303,3.1307,5.8626
8.2643,1.1262,4.2123,2.8759,5.8626
8.2643,1.1262,0.2451,2.9764,6.4712
8.5879,1.3019,8.5611,3.3686,6.4712
8.5879,1.3019,0.214,2.9834,6.6741
10.7023,5.3971,2.8285,2.9505,6.6741
