tracking_loop_timer, data_log_timer, subject_position_timer, brace_position_timer, brace_command_timer
5.7775,1.1809,1.2053,2.7059,5.5873
5.7775,1.1809,14.5738,2.7675,5.5873
9.6376,1.0218,14.5738,2.9456,6.2581
9.6376,1.0218,0.3097,3.0926,6.2581
10.302,1.2775,0.1938,3.061,6.441
10.302,1.2775,13.4252,3.1476,6.441
9.0821,4.5036,0.2176,3.131,6.6686
9.0821,4.5036,0.2167,3.3776,6.6686
8.0398,1.1009,0.2224,8.1732,6.6686
8.0398,1.1009,9.1069,3.3858,6.1805
8.0398,1.1009,0.2396,3.2855,6.1805
6.4682,1.0097,0.1784,3.012,6.5865
6.4682,1.0097,9.5977,3.118,6.5865
9,1.5911,0.4567,9.1621,6.4012
9,1.5911,0.1717,3.0697,6.4012
13.4164,1.0532,0.2264,2.6951,6.4012
13.4164,1.0532,9.41,2.9311,6.2026
13.4164,1.0532,0.1971,3.0504,6.2026
6.8525,1.1567,0.2064,2.949,6.8727
6.8525,1.1567,0.2291,3.0443,6.8727
7.2217,0.9822,7.3313,3.0317,6.3133
7.2217,0.9822,0.2411,2.9447,6.3133
7.9112,3.7151,0.3731,3.3655,6.7354
7.9112,3.7151,12.3659,2.9634,6.7354
10.0068,1.4782,0.2831,10.1402,6.7354
10.0068,1.4782,0.1925,3.0679,6.4072
10.0068,1.4782,0.2342,2.9906,6.4072
6.3366,0.9922,8.2855,2.8798,6.6191
6.3366,0.9922,0.227,2.9103,6.6191
11.1521,1.3255,0.2209,3.2125,9.7037
11.1521,1.3255,0.2179,2.9903,9.7037
11.079,1.0544,11.9979,11.2263,6.6973
11.079,1.0544,0.2091,2.9686,6.6973
9.6406,1.4248,0.3296,3.0446,6.6973
9.6406,1.4248,7.8052,3.1569,6.5663
9.6406,1.4248,0.1814,2.7781,6.5663
8.9164,1.4112,0.3598,2.9828,6.5527
8.9164,1.4112,0.2101,3.1425,6.5527
10.721,7.6054,0.2258,3.0875,6.4471
10.721,7.6054,0.2128,3.0492,6.4471
8.8895,1.4423,0.1883,3.1083,6.4471
8.8895,1.4423,0.2203,3.2738,6.704
8.8895,1.4423,0.2079,2.8756,6.704
8.6082,1.1395,0.2194,3.0205,6.7206
8.6082,1.1395,15.4668,3.0205,6.7206
10.4427,1.5259,0.4168,9.3393,6.5805
10.4427,1.5259,0.1808,3.1177,6.5805
9.3774,1.5021,0.2079,2.8795,6.4869
