tracking_loop_timer, data_log_timer, subject_position_timer, brace_position_timer, brace_command_timer
8.2151,0,0.2031,2.9121,0
8.2151,0,0.2369,2.9387,0
10.6993,1.5145,0.1696,2.7868,6.5394
10.6993,1.5145,0.2297,2.8089,6.5394
9.3873,1.1256,9.3266,2.8179,5.4089
9.3873,1.1256,0.2116,3.0869,5.4089
7.9018,1.2144,12.3511,2.9432,6.2871
7.9018,1.2144,12.3511,2.8699,6.2871
7.9018,1.2144,0.2526,3.0625,6.2871
16.4708,1.1474,0.2082,2.7177,7.846
16.4708,1.1474,0.2689,3.0815,7.846
10.7439,1.0459,0.1741,2.8732,6.8736
10.7439,1.0459,0.1895,3.0833,6.8736
9.6379,0.9675,11.5267,2.9647,6.9865
9.6379,0.9675,13.7461,3.3891,6.9865
10.8737,1.2403,0.4144,2.9339,6.9865
10.8737,1.2403,0.1781,2.9342,6.3221
10.8737,1.2403,0.2076,2.9484,6.3221
9.4477,1.4912,0.1956,9.5654,6.956
9.4477,1.4912,0.2034,2.8626,6.956
6.5714,0.9801,12.5096,2.9939,6.3843
6.5714,0.9801,0.2254,3.0803,6.3843
7.9051,7.724,0.2188,3.1892,6.5476
7.9051,7.724,0.2692,3.3326,6.5476
11.7498,1.6533,6.0193,2.9499,6.5476
11.7498,1.6533,0.2593,9.2439,6.5708
11.7498,1.6533,0.1633,2.8919,6.5708
13.6027,1.0472,0.1796,13.7089,5.5867
13.6027,1.0472,14.195,3.0646,5.5867
10.5248,1.4734,0.2095,2.977,7.0958
10.5248,1.4734,0.265,2.8735,7.0958
11.2049,1.1193,4.1884,3.3215,7.0958
11.2049,1.1193,0.2104,2.8877,6.5862
11.2049,1.1193,0.2046,3.0951,6.5862
7.5365,1.4266,0.175,7.6111,6.1461
7.5365,1.4266,8.6915,3.1669,6.1461
6.6919,1.0112,0.1956,3.1246,6.486
6.6919,1.0112,0.4265,3.2849,6.486
12.5452,1.2551,13.1713,2.8825,6.2219
12.5452,1.2551,0.2131,2.9637,6.2219
10.2622,1.0372,0.2457,3.061,6.2219
10.2622,1.0372,0.1965,9.3511,6.6581
10.2622,1.0372,6.6433,2.8979,6.6581
8.5125,1.5371,0.2137,2.9828,6.5165
8.5125,1.5371,0.2375,2.9094,6.5165
7.7059,5.1125,0.2197,3.1702,6.991
7.7059,5.1125,8.61,3.0009,6.991
7.6446,1.0813,0.3592,3.2101,6.991
7.6446,1.0813,0.1741,2.9888,6.7287
7.6446,1.0813,0.1925,2.9544,6.7287
11.0356,1.5685,3.0619,11.2677,6.9757
11.0356,1.5685,0.198,3.0688,6.9757
10.6667,1.6844,0.2176,3.3212,6.1902
10.6667,1.6844,14.5756,3.2152,6.1902
6.7628,1.1428,0.2224,2.9321,6.4616
6.7628,1.1428,0.2279,3.1277,6.4616
6.7628,1.1428,0.3613,3.4163,6.4616
10.935,1.157,11.3498,9.0607,6.3372
10.935,1.157,0.182,3.1198,6.3372
9.4546,1.5963,0.2261,9.5606,6.9678
9.4546,1.5963,0.2602,3.3067,6.9678
12.1169,1.0547,0.2125,2.9191,6.4975
12.1169,1.0547,0.2125,2.7539,6.4975
10.0801,1.077,0.2988,3.0413,6.4975
10.0801,1.077,0.2164,3.14,6.4066
10.0801,1.077,0.2421,2.9897,6.4066
10.2745,1.4704,0.2571,10.3808,6.6608
10.2745,1.4704,0.249,3.5524,6.6608
14.6125,1.5525,6.6294,3.0887,6.1908
14.6125,1.5525,0.5249,2.9058,6.1908
11.1382,0.997,0.2028,2.9876,6.2315
11.1382,0.997,0.2028,3.089,6.2315
13.1318,0.997,0.2067,2.9906,6.2315
13.1318,1.397,0.2327,9.47,6.8217
13.1318,1.397,11.1977,3.4081,6.8217
10.8599,4.3877,13.3654,2.8013,6.0401
10.8599,4.3877,0.2402,2.7699,6.0401
7.1396,0.9859,0.2016,3.2397,6.3278
7.1396,0.9859,0.3224,2.8946,6.3278
7.6854,1.1214,0.2215,2.9616,6.3278
7.6854,1.1214,0.1663,2.7938,5.4593
7.6854,1.1214,12.4791,2.9263,5.4593
10.8571,1.177,12.4791,3.0555,7.1827
10.8571,1.177,0.2122,3.3471,7.1827
11.9312,1.2455,0.2408,3.1132,6.3414
11.9312,1.2455,3.0525,3.0628,6.3414
9.9084,1.1148,0.2125,3.2077,6.5787
9.9084,1.1148,0.204,2.8291,6.5787
6.8395,1.1229,0.2101,2.8632,6.5787
6.8395,1.1229,14.8156,9.0857,6.4108
6.8395,1.1229,0.3818,2.9722,6.4108
11.8207,1.2159,0.1959,11.9369,6.7888
11.8207,1.2159,15.5054,3.0616,6.7888
11.0869,1.3059,0.3048,2.8892,6.5093
11.0869,1.3059,0.2122,2.9728,6.5093
7.1052,1.0046,0.2463,2.9604,6.5093
7.1052,1.0046,16.0928,3.0021,6.6523
7.1052,1.0046,0.1989,3.0619,6.6523
8.2668,5.5605,0.2677,3.2448,6.8658
8.2668,5.5605,0.2487,3.2629,6.8658
10.1939,1.1773,3.3637,2.9061,6.6946
10.1939,1.1773,0.3021,3.3136,6.6946
7.4967,1.2177,0.2478,3.1086,6.4133
7.4967,1.2177,10.9746,3.3248,6.4133
7.4967,1.2177,0.2161,2.8753,6.4133
10.0134,1.5081,0.2448,9.9724,7.1299
10.0134,1.5081,0.2405,3.1606,7.1299
18.081,1.273,0.2375,2.9435,6.6427
18.081,1.273,0.2611,2.9529,6.6427
8.5623,1.3439,0.2233,3.006,6.6176
8.5623,1.3439,0.3
